"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE"
"124" "FMO2" 2.83219405977807e-11 -0.710130944866124 2.4162069250227e-30 -3.90398249461219
"125" "FOLR1" 6.0373345391598e-06 -0.458183508884103 6.11237191037818e-31 -6.00390464561418
"126" "FOXA2" 1.12478500870149e-07 -0.691367961647076 1.33147849096021e-27 -4.6430002842725
"127" "FSCN1" 0.00307268977028185 0.564149017943737 5.1696588748088e-23 2.71104265703678
"128" "FZD10" 0.00293978842242577 0.781725148506262 0.000354421535245938 1.75079982776404
"129" "FZD7" 1.48598455888321e-07 0.56055951249629 3.20653345383058e-06 1.23178461872573
"130" "GAD1" 1.09027705581659e-11 2.39745119901569 5.36229703669294e-13 3.17776654457871
"131" "GADD45B" 5.32980347228477e-14 -0.543018976727685 7.65519572411724e-21 -2.58577775232101
"132" "GCLC" 1.12092610592682e-36 0.897391621539953 7.766494107324e-14 2.49696017584682
"133" "GCLM" 2.5017076911306e-26 0.703765062101821 4.16637441822916e-07 1.3083774095998
"134" "GNG7" 0.00369509238830811 -0.389144090599989 2.69000152558286e-24 -2.50839093329522
"135" "GPT2" 9.68047132479226e-11 0.628839003162957 7.09671057849441e-20 2.45787844715183
"136" "GPX2" 1.6545700248596e-45 2.55065831590469 1.1195098892488e-08 5.03116541135339
"137" "GYPC" 7.82357676720401e-07 -0.762802103098854 5.76683580470179e-28 -2.46022601618856
"138" "HLA-DMA" 7.28354959557964e-05 -0.369894465628132 1.227721572132e-24 -2.25889876276017
"139" "HLA-DOA" 7.60469171853627e-05 -0.514109394938053 4.21634466488839e-21 -2.33938641776579
"140" "HLA-DPA1" 0.000603955960319361 -0.445231688447453 1.10933984939098e-19 -2.30358289480812
"141" "HLA-DPB1" 0.0163975653723317 -0.396417062239262 2.72064477194787e-19 -2.18987064050199
"142" "HLA-DQB1" 0.0352173666870496 -0.453650721981298 4.94901634395149e-14 -2.23255364536018
"143" "HLA-DQB2" 1.31298406292051e-05 -0.580798654015139 3.49921610978983e-11 -1.98805476253454
"144" "HLA-DRA" 0.000252757078810385 -0.362778582997219 1.96563756714342e-18 -2.35063556944631
"145" "HLF" 6.21739744843238e-07 -0.463952872876477 3.29479668872366e-16 -2.67017028222912
