"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE"
"125" "CEMIP" 1.13947735847551e-07 1.0799630895671 9.46202047835512e-08 1.78739837661838
"126" "CEP250" 0.0328239921784201 0.522326180178744 1.2315747441238e-05 0.799814196197081
"127" "CEP85" 3.16970961520256e-05 0.362675216239799 1.54472208841138e-12 1.1717452022568
"128" "CERS6" 3.86425731993748e-06 0.274375954537309 1.84862548153656e-12 1.30129348319474
"129" "CFAP65" 0.00457060638860303 -0.534923629968171 6.10418730235823e-06 -2.49550409496223
"130" "CFD" 7.13569464058098e-06 -0.666949377159607 1.50228060997073e-17 -2.8660612751101
"131" "CGREF1" 5.79840542345431e-06 1.06804276255751 3.37548825522943e-14 3.53689178310155
"132" "CHPF" 8.64734538021462e-05 0.342271334231406 0.000203600397570975 0.882202882129745
"133" "CHPT1" 1.11885027429862e-11 -0.53310582658092 2.2097042600695e-07 -0.846361818978268
"134" "CHRM3" 0.029606465176638 -0.342690978614865 0.000169256961552057 -1.53980677627183
"135" "CHRNA10" 0.0104723031983804 -0.268939236767689 5.47877447581779e-07 -1.11020569689032
"136" "CHST15" 4.08689676538484e-15 0.545507686009989 1.68875789609159e-15 1.1988173400465
"137" "CIITA" 0.00332376256318569 -0.37554291042282 0.0031360776092122 -0.746505420303895
"138" "CILP2" 0.022261417549887 0.558293746453771 2.69010505155139e-13 3.58313403930333
"139" "CKAP4" 8.44909627765914e-12 0.539260969662548 1.2827326880486e-12 1.03340533329296
"140" "CKB" 0.000280971721982034 -0.353251787616641 0.000175953870962 -1.19169780215653
"141" "CLDN10" 1.47743754112688e-29 1.15709407446629 8.45749204237531e-05 2.27849927820867
"142" "CLDN8" 8.13394322937539e-11 -0.658224928868739 0.024190218748842 -1.37276406228766
"143" "CLEC2D" 0.013693048674988 0.350916136726035 0.00572661356566097 0.70627289130437
"144" "CLNK" 0.00961097272066177 0.511013859380138 5.03543678404591e-05 1.2853457847519
"145" "CNGB1" 4.91308515681938e-14 1.65918231304628 0.00048560750108085 1.14535673953447
"146" "CNTN4" 2.31649911381031e-06 -0.62955541084639 0.000436176046855145 -0.855889449368043
"147" "COA6" 1.04926021801902e-13 0.411329805028128 1.09781289801049e-09 0.936894973390113
"148" "COL17A1" 0.0138623793156024 0.351405154101808 1.91590126625651e-06 2.83508206131802
"149" "COL1A1" 0.00252661033012775 0.291088843582425 1.08876858294527e-13 2.9801369303562
"150" "COL3A1" 6.0871963004397e-05 1.00163751672756 2.41645324623686e-14 2.84258866862561
"151" "COL4A3" 0.0443368658008362 -0.573066922740135 6.29789909865733e-13 -2.75747977368945
"152" "COL4A5" 0.00053583790185562 -0.259876520598651 1.77002340263381e-05 -1.12321406913118
"153" "COL5A1" 0.0277157654776433 0.519037927786082 1.8370202717712e-12 2.15883119550557
"154" "COPG2" 0.0222872862351862 0.574245134167015 6.08407397446145e-09 0.745708759997638
"155" "CPED1" 0.0161545909374581 -0.600143716847189 5.48694130724372e-13 -1.78478429852821
"156" "CPM" 0.0439991090273134 -0.466333451903797 3.45415430347951e-05 -1.09198972906164
"157" "CPNE4" 1.35695861923896e-05 0.98592425275277 1.79753764891102e-10 2.44845455775266
"158" "CREB3L4" 1.98144617954027e-17 0.391194184536952 5.59251487753409e-07 1.11358001716909
"159" "CRIM1" 2.04320545748776e-05 -0.340982160395264 3.29125199241586e-09 -1.16652618615071
"160" "CRISP2" 0.0474013496988275 -0.292120511739256 0.0379865994154925 -1.20593607219417
"161" "CRLF1" 5.71399112527258e-06 0.419952516722718 0.00206226777412573 1.97804203907498
"162" "CTHRC1" 0.00544441839431807 0.701888069837727 3.26625380458409e-18 3.96456857923438
"163" "CTNNAL1" 9.01155196186852e-08 -0.295049913803489 2.9116270112425e-11 -1.22656575786249
"164" "CX3CL1" 6.80952297266442e-27 -1.10114502861203 3.21211489407921e-08 -1.74851487310244
"165" "CX3CR1" 0.000314890864682125 -0.497947321210208 3.72560830702825e-09 -1.97535486883127
"166" "CXCL14" 0.000174858874431638 1.29942666220575 0.000283618066962204 2.07106856971692
"167" "CXCL16" 0.00451713672065776 -0.245299062457169 7.89935707805311e-11 -1.17573726349425
"168" "CXCL2" 0.011117063368124 -0.494263816117329 1.9585674648309e-08 -2.37014227318087
"169" "CXCL3" 0.000729209817718172 -0.571873692424385 3.21882128056779e-06 -1.70388790959722
"170" "CXCL5" 0.00338486054752853 -0.750053869913697 0.0258805643907553 -0.928454369670729
"171" "CYBRD1" 2.60916225955253e-05 -0.511174696013454 6.52752442399188e-16 -1.79622493043875
"172" "CYP24A1" 0.0217315206392103 0.374136612521053 2.46858121304296e-11 5.62863268717222
"173" "CYP27A1" 1.39060070036305e-06 -0.414664489690276 9.93431851020679e-16 -2.09957983348603
"174" "CYP27B1" 0.0491918526171405 0.379947289803491 2.95034175782635e-11 1.9247830465199
"175" "CYP2A6" 4.46639789742508e-09 -0.526138224153025 3.84409385355458e-07 -2.1704136031094
"176" "CYP2F1" 0.00122649611236906 -0.38717064443558 3.20706771107223e-08 -3.39030993986714
"177" "CYP4X1" 4.08113071580781e-25 -0.816015321025136 0.00213566466424724 -0.923761722528802
"178" "CYP4Z1" 5.67404471837922e-11 -0.496234999172017 3.91411627578344e-05 -1.60090150492021
"179" "CYS1" 0.00327221991180406 -0.599901380882301 2.13033038631179e-16 -2.63008396645528
"180" "DAPK1" 2.9046080157133e-10 -0.736596736961987 5.03771266549982e-10 -1.26505866301961
"181" "DCBLD1" 0.00965509030167917 0.310793339573114 1.75262054342907e-05 0.834474750245849
"182" "DEGS2" 0.0194636615320289 -0.277290672542705 0.0303882870584492 -0.765028656790023
"183" "DGKA" 8.62880746615586e-06 0.320603070607989 1.78697070892953e-05 0.770402899645749
"184" "DHTKD1" 3.53946763051506e-06 0.290007794593743 1.9253146128711e-13 1.00591170592694
