,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZDHHC12,0.284961617,5.042678399,3.436665897,0.000818313,0.00145095,-2.207304356
ZFHX4,0.90927689,0.378605061,3.43629101,0.000819341,0.001452438,-1.383344239
BEST4,0.85719467,-1.376186071,3.434213716,0.000825057,0.001462065,-1.160621177
TRAF3,0.312422472,3.599759012,3.431885994,0.000831506,0.001472986,-2.000005854
PDGFD,0.671323692,3.134096931,3.429489506,0.000838195,0.001484494,-1.902185234
NDUFV2,0.276888659,6.035258193,3.428518374,0.00084092,0.001488978,-2.276659258
ATG9A,0.217326017,6.157503726,3.426772936,0.000845839,0.001497344,-2.282240331
C7orf60,0.288806857,3.926034639,3.425319084,0.000849957,0.00150446,-2.089275625
MYST2,0.227651899,5.596250224,3.424275852,0.000852923,0.001509537,-2.279414839
ATF6,0.248128764,6.298623901,3.423540262,0.00085502,0.001512902,-2.290851637
EEF1B2,0.399688981,7.506405919,3.423026852,0.000856487,0.001515323,-2.239296618
AKAP1,0.324281662,6.265845569,3.422595673,0.000857721,0.001517332,-2.294329658
C1orf93,0.364249805,5.103749366,3.420856083,0.000862715,0.001525991,-2.261654309
G6PC3,0.257134757,5.757829913,3.420764107,0.00086298,0.001526285,-2.295981533
C6orf192,0.375475296,3.885077775,3.41889248,0.000868385,0.001535492,-2.101104197
AIMP1,0.195749715,5.462561085,3.418050258,0.000870828,0.001539458,-2.29286205
MIER3,0.240224099,4.612468115,3.414931728,0.000879929,0.001555012,-2.23270992
WASL,0.227686995,6.418528698,3.413107172,0.000885295,0.001563957,-2.320883329
NEDD1,0.249404302,4.386112705,3.412914107,0.000885864,0.001564604,-2.208866409
PRDM8,0.651245465,1.221511705,3.411971524,0.00088865,0.001569165,-1.586219451
SETD1A,0.299386292,5.225729518,3.410505693,0.000892999,0.001576302,-2.302672571
ODF2,0.275644804,5.078053096,3.407238576,0.000902764,0.001592481,-2.302209764
INO80E,0.216823748,4.855891546,3.405036704,0.000909401,0.001603968,-2.289809541
CCNJL,0.537507378,4.800598866,3.403491371,0.000914087,0.001612048,-2.28919072
CPSF7,0.176119454,6.367569618,3.402535479,0.000916996,0.001616994,-2.355119747
C22orf27,0.372050285,2.462891692,3.401759772,0.000919364,0.001620984,-1.840908159
ANKRD36B,0.566134492,-0.574519888,3.401000626,0.000921686,0.001624707,-1.36104481
SCAMP1,0.25034057,5.89753474,3.398654926,0.000928898,0.001636883,-2.368252051
TUBGCP5,0.239422878,3.842312873,3.398650152,0.000928913,0.001636883,-2.155461254
TMC5,0.588422643,6.453058333,3.397054287,0.000933849,0.001645018,-2.369962256
GYS1,0.22718877,5.644760556,3.396834042,0.000934532,0.001646033,-2.366948719
SIRT6,0.248201184,3.67117951,3.394575671,0.000941565,0.001658231,-2.132002004
ISM1,0.837610232,2.796198712,3.394492863,0.000941824,0.001658497,-1.935310035
HIST3H2A,0.967181167,-0.495137586,3.393973996,0.000943447,0.001661166,-1.3930157
C9orf129,0.363771443,1.950669265,3.392939884,0.00094669,0.001666685,-1.766161676
PLVAP,0.661533384,6.069606839,3.392367112,0.000948491,0.00166959,-2.389688715
RWDD2B,0.304778974,4.075799081,3.391135787,0.000952373,0.001676115,-2.224916284
RGS4,0.880770594,1.799561907,3.390373895,0.000954782,0.001679972,-1.746681315
APOBEC3D,0.478303125,2.279440401,3.390231319,0.000955234,0.001680566,-1.83874753
COX6A1,0.342650573,6.489963493,3.390198422,0.000955338,0.001680566,-2.390167018
METT11D1,0.278337054,4.320894778,3.389310056,0.000958156,0.001685308,-2.272485243
CLP1,0.205161193,3.699414289,3.389187154,0.000958547,0.001685551,-2.154797682
RPS21,0.429387258,8.035468299,3.388196614,0.000961699,0.001690792,-2.318997759
C21orf119,0.41967747,1.888379708,3.387788891,0.000963,0.001692692,-1.770630433
TMEM184B,0.244602695,6.597744559,3.387333998,0.000964453,0.001695052,-2.3952931
ZNF777,0.243559056,4.330538615,3.385141702,0.000971484,0.00170702,-2.286918408
ZNF813,0.35841493,1.995752272,3.382792628,0.000979071,0.001720156,-1.806003332
TMEM63A,0.333276867,6.097048907,3.379319744,0.00099039,0.00173925,-2.430233711
LRIG3,0.640413858,4.919186764,3.373937782,0.001008174,0.001769875,-2.392274419
PI4KB,0.224358167,6.462150432,3.372452331,0.001013135,0.001777774,-2.446021464
PABPN1,0.243807288,6.602052319,3.371509809,0.001016295,0.001783115,-2.444157161
ADK,0.425285815,4.789582336,3.371471514,0.001016423,0.001783138,-2.387456378
DUSP11,0.230171247,4.548143351,3.364269211,0.001040877,0.001824791,-2.382055267
TGFBI,0.735178591,7.847115144,3.36284928,0.001045763,0.001832939,-2.407908199
RASD1,0.923897065,5.177746514,3.362113941,0.001048301,0.00183718,-2.44958478
HIST1H3E,0.914737255,-0.611411143,3.359809994,0.001056292,0.001849922,-1.482595784
RAC1,0.246517813,8.289033395,3.359432404,0.001057607,0.001852015,-2.393619362
TSSK6,0.462962929,-0.312253953,3.356872946,0.001066562,0.001867059,-1.531026058
ABHD4,0.315525119,5.491767521,3.355357771,0.001071897,0.001875759,-2.488875589
CXCR5,1.126993027,0.290369186,3.352288353,0.00108278,0.001893729,-1.629688705
ERGIC1,0.283188429,7.98230643,3.351659509,0.001085023,0.001897435,-2.434892632
C16orf42,0.22635228,5.209076984,3.351423453,0.001085866,0.001898694,-2.484683353
ZDHHC16,0.272843021,5.473039057,3.351079333,0.001087096,0.001900629,-2.501136471
CHMP1A,0.224538752,6.634013026,3.34884386,0.001095117,0.001913784,-2.512809536
NRM,0.380619247,3.783586049,3.34188566,0.001120441,0.001956043,-2.318603512
TSHZ2,0.648260797,1.210624763,3.341426724,0.00112213,0.001958327,-1.80184182
HMG20B,0.237156938,5.646795777,3.34107387,0.001123431,0.001960374,-2.53935465
SRCAP,0.186918332,7.522431601,3.338443866,0.001133169,0.001976919,-2.500560232
NOL12,0.268266307,3.515113076,3.336418653,0.001140721,0.00198942,-2.277019545
CLOCK,0.356836062,3.930346204,3.336142485,0.001141755,0.001990997,-2.366341881
ZNF607,0.42061709,2.686358718,3.334606503,0.001147519,0.002000596,-2.095665872
CYP2D6,1.075695499,-1.186133017,3.333524322,0.001151596,0.002007478,-1.49112834
PDZD7,0.738846335,-1.109379663,3.333154813,0.001152992,0.002009683,-1.501455724
CTNNB1,0.293712292,9.040282466,3.333079778,0.001153275,0.00200995,-2.43133812
LOC647288,0.481293803,-0.848898148,3.328869201,0.001169292,0.002037172,-1.546421168
TRIM17,0.843095014,-0.071745459,3.327505042,0.001174525,0.002046059,-1.653381378
PCDHB11,0.692428294,1.300998123,3.327435788,0.001174792,0.002046291,-1.858359549
GRWD1,0.223670112,5.127409901,3.325496177,0.001182272,0.002058856,-2.558429315
HIP1R,0.334906315,5.175743896,3.324007062,0.001188046,0.002068442,-2.566461699
POF1B,1.117108189,2.36762029,3.322275454,0.001194792,0.002079484,-2.065598843
SH3PXD2A,0.316918062,6.851076864,3.322131317,0.001195356,0.002080229,-2.58514944
EIF2B3,0.255081678,4.346308173,3.322034143,0.001195735,0.002080655,-2.483576276
PANK3,0.328701353,4.269799238,3.31935649,0.001206247,0.002098708,-2.479732653
GPR89B,0.599869034,-0.308969082,3.318629799,0.001209114,0.00210346,-1.647646711
DHX36,0.225716855,5.424673051,3.318145837,0.001211027,0.00210655,-2.599609923
CHD7,0.493540829,4.644718984,3.31731908,0.001214302,0.002112009,-2.537944866
UBTF,0.209512218,6.783985664,3.316958108,0.001215735,0.002114262,-2.604059586
SLC25A5,0.289995513,8.161133631,3.316422146,0.001217865,0.002117727,-2.532774134
NDUFA9,0.285257291,5.532021666,3.316108299,0.001219113,0.002119659,-2.611051154
UHRF1BP1,0.29830484,5.109123215,3.314571201,0.001225247,0.002129842,-2.590410023
AP1AR,0.249901181,4.348443816,3.314200616,0.00122673,0.002132048,-2.50780225
MDC1,0.340621778,5.382336128,3.314185015,0.001226792,0.002132048,-2.609394814
HOXB2,0.720338378,2.363299329,3.314129026,0.001227017,0.002132197,-2.089496868
SMC4,0.397355636,5.904203312,3.311123117,0.001239111,0.002152243,-2.637968125
SCLT1,0.279724462,2.807630581,3.310514338,0.001241574,0.002156278,-2.195790394
GSTZ1,0.431158442,3.703783268,3.309366262,0.001246231,0.002164122,-2.40101763
TRMT12,0.257180679,3.641772286,3.307950434,0.001251997,0.002173645,-2.391926212
C22orf30,0.332734836,5.377307883,3.30770818,0.001252986,0.002175117,-2.628848371
RPL12,0.391468711,8.57620001,3.306962712,0.001256034,0.002179917,-2.53784743
C5orf39,0.44500087,1.57739731,3.306350907,0.001258541,0.002184022,-1.966041938
LAG3,0.73090712,1.925436867,3.304455915,0.001266335,0.002196806,-2.032567178
KIAA0652,0.165214154,6.280844948,3.30401366,0.001268161,0.002199725,-2.660086338
OSBPL2,0.219518941,5.76282992,3.301994575,0.001276526,0.002213737,-2.662505373
LEMD2,0.217228934,5.301395612,3.297324805,0.001296072,0.002246117,-2.655987756
TBCD,0.243699124,6.33726986,3.295853194,0.00130229,0.002256385,-2.683878889
TBCA,0.287688332,5.688147745,3.29145811,0.001321025,0.002288074,-2.69216453
NOM1,0.271322595,4.384071021,3.291033522,0.001322848,0.002290975,-2.583543426
GNB2L1,0.315525914,9.835628557,3.288440095,0.001334036,0.002309052,-2.521818073
RFESD,0.420767247,0.034064943,3.288303271,0.001334628,0.002309818,-1.786608797
REXO2,0.252698516,5.365684653,3.286216148,0.0013437,0.002324996,-2.693446922
AGAP1,0.349147236,4.062078309,3.284878307,0.001349545,0.002333799,-2.548073851
NOS1AP,0.579603285,1.011248141,3.284720771,0.001350234,0.00233473,-1.943204763
TARDBP,0.166767751,7.13016213,3.284610307,0.001350718,0.002335305,-2.685292877
RNF213,0.412744766,8.002439019,3.284460165,0.001351376,0.00233618,-2.638814833
KHSRP,0.25153042,6.524498099,3.283327703,0.001356349,0.002344107,-2.716729596
RFK,0.386956459,5.168853305,3.282416299,0.001360363,0.002350398,-2.692432748
NDUFS3,0.244912179,5.791357521,3.281986254,0.001362261,0.002353149,-2.723945467
PNKP,0.237980128,4.406197932,3.281746566,0.00136332,0.002354714,-2.614866455
LRP12,0.431226781,4.035547346,3.280751531,0.001367724,0.002361792,-2.555506545
SUDS3,0.285565991,5.645151381,3.280214102,0.001370109,0.002365644,-2.724697075
ZNF296,0.483195517,0.917742652,3.279752495,0.00137216,0.002368389,-1.943798645
ZNF326,0.300854285,3.860511748,3.278141273,0.001379341,0.002379718,-2.528573181
SNRNP27,0.191466895,4.668998476,3.275637298,0.001390571,0.002397752,-2.667271274
STK16,0.273152846,4.834252315,3.275393741,0.001391668,0.002399374,-2.685504979
C14orf2,0.323873966,5.186854748,3.275224398,0.001392431,0.002400422,-2.715432742
MRPL53,0.292454653,4.721503842,3.275181921,0.001392623,0.002400483,-2.67449956
CCL22,0.881981515,3.085282372,3.274963047,0.00139361,0.002401916,-2.365893818
HTRA2,0.220303169,4.692135579,3.274225429,0.001396941,0.002407388,-2.674150205
NANOS1,0.322513696,2.617042488,3.273969618,0.001398098,0.002409113,-2.264630726
BGN,0.598371188,8.97653269,3.273496689,0.00140024,0.002412533,-2.616111638
ANO9,0.467436824,3.436581273,3.27130242,0.001410216,0.002429449,-2.457129927
ANKRD13D,0.274296448,4.56852629,3.269928378,0.001416496,0.002439723,-2.672419762
CENPJ,0.365629255,2.70076764,3.267935124,0.001425653,0.002454947,-2.300977497
ISLR,0.689624494,5.897941515,3.267768144,0.001426423,0.002455998,-2.769235871
BCL2L14,0.781858533,0.295362425,3.26756446,0.001427362,0.002457201,-1.886512627
CCL20,1.257463095,3.060386808,3.267467142,0.001427811,0.002457564,-2.382805798
SVIP,0.301612733,4.206505168,3.263861612,0.00144454,0.002484693,-2.637394527
MRPL48,0.262900825,4.087632299,3.263681553,0.00144538,0.00248586,-2.616777955
ZNF391,0.467966992,0.577658635,3.263556758,0.001445963,0.002486585,-1.94053316
ADAM22,0.789623587,-0.297132168,3.263001233,0.001448559,0.002490493,-1.816284495
KDM3A,0.249343257,5.795291451,3.262243013,0.001452109,0.002496319,-2.78361547
DDX42,0.22043561,6.99702462,3.262036374,0.001453078,0.002497706,-2.760218038
HS3ST3A1,0.739932539,0.305573649,3.260981074,0.001458036,0.002505427,-1.907685026
C6orf122,0.54658811,-1.057072472,3.260176704,0.001461826,0.002511062,-1.726638546
PNN,0.305138425,6.128753222,3.260094956,0.001462212,0.002511444,-2.794250373
ODF2L,0.361167022,4.546896404,3.259947414,0.001462908,0.00251236,-2.69972663
CCNC,0.323740625,5.819200121,3.258885728,0.001467927,0.002520419,-2.794311267
SPIB,1.056870974,0.544223462,3.258649028,0.001469049,0.002522063,-1.950160944
IFRD2,0.291309713,5.479150381,3.258036263,0.001471955,0.00252649,-2.784442088
SPDYE8P,0.383384132,-0.678453805,3.254269026,0.001489942,0.002556794,-1.791753985
FAM134A,0.177748838,6.923633007,3.252139484,0.0015002,0.002573824,-2.793606083
DDX46,0.217716162,5.943348603,3.250559171,0.001507855,0.002586382,-2.821711678
ANKRD52,0.370098437,5.666270565,3.248021015,0.001520227,0.002607021,-2.822388247
PHPT1,0.38776677,5.701897513,3.247335692,0.001523583,0.002612487,-2.825646697
STMN3,0.653307285,4.546220017,3.247047493,0.001524997,0.00261462,-2.738364628
CHGB,1.618956062,-0.440997931,3.246712679,0.001526641,0.002617147,-1.845353532
ERRFI1,0.628909379,7.812355413,3.245736092,0.001531445,0.002624798,-2.765947222
ZFAND3,0.176599501,6.320286449,3.245012176,0.001535015,0.002630625,-2.837525279
PIGL,0.386464455,1.211047449,3.24446896,0.001537699,0.002634639,-2.094427216
HOXB3,0.641194995,2.858832201,3.244060326,0.001539721,0.00263781,-2.407534104
ZNF8,0.346612769,1.762173473,3.242853429,0.001545707,0.002647183,-2.188322643
EP400NL,0.434878533,1.98502476,3.242477147,0.001547578,0.002649798,-2.23008277
LTV1,0.218498078,4.689341085,3.240782208,0.001556032,0.00266368,-2.774339906
AKT2,0.235914058,6.604710146,3.239810307,0.001560898,0.002671417,-2.844753141
ZNF530,0.39704906,1.412101833,3.23825948,0.001568693,0.002683864,-2.144050302
MACC1,0.562226343,5.584446587,3.238176229,0.001569113,0.002684284,-2.848741073
CPS1,1.454056568,1.416501949,3.235952168,0.001580358,0.002702621,-2.15160674
KIAA0802,0.670192234,2.609488788,3.235393426,0.001583195,0.002707172,-2.378587564
CLINT1,0.238433936,6.90797556,3.235305797,0.00158364,0.002707333,-2.844790996
TMEM126A,0.297379864,3.567280987,3.235012945,0.001585129,0.002709578,-2.595322414
OVGP1,0.609207391,0.760459841,3.232363748,0.00159866,0.002732404,-2.061226352
MUTYH,0.295808196,2.880767757,3.231378576,0.001603719,0.002740747,-2.450294303
DEF6,0.344484912,4.288981062,3.230573016,0.001607867,0.002747226,-2.750753567
YTHDF2,0.174570136,6.684604318,3.227668471,0.001622906,0.002772307,-2.877810761
ZNF766,0.247190126,4.072074572,3.227063972,0.001626053,0.002777374,-2.723558908
DEDD,0.218785107,5.332401964,3.223493242,0.001644754,0.002808073,-2.879918405
WNT7B,0.548346101,4.760306351,3.222837224,0.001648212,0.002813664,-2.835605555
KCTD6,0.281020974,2.631554898,3.220073037,0.001662855,0.002838348,-2.428946081
AGPAT6,0.321869963,6.360583755,3.219817843,0.001664213,0.002840351,-2.91196253
KDM2A,0.246717034,7.186183587,3.219422754,0.001666318,0.002843628,-2.878028391
GALNT3,0.573366725,5.527786357,3.218875177,0.001669239,0.002848297,-2.903861324
PGD,0.463126418,7.579518414,3.217912699,0.001674384,0.002856761,-2.861641833
PPP1R11,0.210879268,6.453534132,3.217542037,0.00167637,0.002859832,-2.916336354
PPP1CC,0.214006064,6.95748574,3.216549793,0.001681696,0.002867965,-2.898273875
RHOC,0.392003992,7.645871008,3.216463881,0.001682158,0.002868435,-2.862378033
DUSP5,0.532963266,5.156184083,3.215983477,0.001684743,0.002872208,-2.890775587
COPE,0.271434221,6.680654985,3.215877162,0.001685315,0.002872866,-2.913094685
FBXO4,0.343659129,3.35690555,3.215371013,0.001688044,0.00287688,-2.606321587
PARD6G,0.360751781,2.793148223,3.213535405,0.001697973,0.002892843,-2.483790154
SEC11C,0.525496251,5.830834487,3.213429698,0.001698546,0.0028935,-2.930469203
RFX5,0.251933537,5.898665395,3.212041804,0.001706092,0.002905712,-2.935999711
CNOT6,0.20338152,5.66099966,3.211746251,0.001707703,0.002908134,-2.93046639
NUAK2,0.501342255,4.088432274,3.209310969,0.001721031,0.002930507,-2.779383957
NPAT,0.229367748,4.44976979,3.208464,0.001725689,0.002938114,-2.840541701
TMEM181,0.332339006,5.821673532,3.207007655,0.001733726,0.002951471,-2.949326379
UBE2MP1,0.284251674,2.047687138,3.206552539,0.001736244,0.002955432,-2.34874513
SAA1,1.346738783,1.455485762,3.205280939,0.0017433,0.002967114,-2.248643333
DPM1,0.251282384,4.66974533,3.20379894,0.001751556,0.002980179,-2.882255877
ATP5G2,0.273473671,7.492149289,3.203460841,0.001753445,0.002983063,-2.909232375
OVCA2,0.311915692,4.564341971,3.203211525,0.001754839,0.002985105,-2.871298936
TNK1,0.333051735,3.333042496,3.202393501,0.001759419,0.002992236,-2.639342936
GABPB2,0.350531338,2.068992427,3.201765026,0.001762946,0.002997904,-2.36701038
C9orf23,0.292273809,3.729189507,3.198966037,0.001778734,0.003023393,-2.737719637
SP5,0.961740989,0.45162583,3.196603027,0.001792165,0.003044902,-2.120035305
ZBP1,0.746570919,1.163069988,3.195921613,0.001796056,0.003050842,-2.230813626
ANAPC5,0.220207146,6.538183064,3.195647586,0.001797622,0.003053164,-2.978587076
ZNF75A,0.314775348,3.482622635,3.194995673,0.001801355,0.00305883,-2.6951968
CWC27,0.188628925,4.149621894,3.194869625,0.001802077,0.003059719,-2.833247817
HSP90B3P,0.82839062,-0.686727329,3.193945197,0.001807385,0.003068392,-1.968525906
LOC100130776,0.497092092,2.629326947,3.193726538,0.001808642,0.003069851,-2.506440577
MAP2K6,0.621307797,1.527040008,3.191960767,0.001818826,0.003085777,-2.299371159
KIF7,0.526697658,1.754719345,3.187365543,0.001845581,0.003128412,-2.351313471
HNRNPA1,0.214813608,7.958481954,3.185978296,0.001853729,0.003141879,-2.93552895
CMPK1,0.245445151,7.648390085,3.185883642,0.001854286,0.003142478,-2.952816108
MSI1,1.011900716,-0.37282183,3.185748796,0.00185508,0.003143478,-2.034052573
GPKOW,0.168003565,4.567642539,3.185683875,0.001855463,0.00314378,-2.923534254
ZNF85,0.426485163,1.87015417,3.184718118,0.00186116,0.003152048,-2.379764014
TMEM60,0.28543388,3.845472436,3.184542382,0.001862199,0.00315346,-2.804721363
GPR143,0.707428897,0.939564009,3.18241922,0.001874788,0.003173732,-2.236025231
C16orf63,0.246689656,5.217059995,3.177140193,0.001906434,0.003225887,-3.009922212
CSNK1D,0.191624159,7.47561366,3.17595248,0.001913622,0.003237695,-2.991348862
PDHX,0.206445321,4.682866218,3.173713073,0.001927244,0.003260383,-2.972565743
UHRF2,0.261846723,4.75723133,3.172584283,0.001934144,0.003271339,-2.983987229
BHLHE22,0.65313882,0.957089631,3.169331408,0.001954158,0.003302289,-2.277016438
BCL7C,0.306523148,4.975189584,3.16921566,0.001954874,0.003303136,-3.014670237
RPP30,0.208747988,4.142144447,3.168925611,0.001956668,0.003305806,-2.90834925
RSC1A1,0.282672688,3.154034657,3.168781123,0.001957562,0.003306954,-2.697328703
C19orf53,0.294430333,5.86724778,3.1683442,0.00196027,0.003311165,-3.064464634
ZNF821,0.271090135,2.74774785,3.165300409,0.001979226,0.003342452,-2.615880387
INPPL1,0.275994427,6.794287144,3.165029028,0.001980924,0.003344953,-3.058299577
SHKBP1,0.25585554,6.169681018,3.162109803,0.001999279,0.003375207,-3.085114492
CBWD6,0.394648475,1.893754896,3.161952633,0.002000272,0.003376144,-2.450775457
B3GALT6,0.270986197,4.611554939,3.160922435,0.00200679,0.003386403,-3.001740899
MFSD5,0.220956437,5.14206018,3.157825395,0.002026505,0.003418548,-3.061384042
VWA2,0.576827583,3.758785167,3.157125818,0.002030983,0.003425653,-2.867110232
C2orf28,0.317399582,6.736830627,3.157098008,0.002031161,0.003425653,-3.084131301
TMEM45A,0.764903811,4.280180155,3.156824536,0.002032914,0.003428234,-2.967295967
PLA2G7,0.91107221,3.133246809,3.156414325,0.002035546,0.003432298,-2.728774378
FCF1,0.170956214,5.282465944,3.156203545,0.0020369,0.003434205,-3.075625201
SPTY2D1,0.195807692,5.547776501,3.153784782,0.002052496,0.003458986,-3.096816806
SAMD1,0.239260328,3.45838915,3.153254277,0.002055932,0.003464396,-2.812361788
CPT1B,0.727907044,2.035363554,3.152054367,0.002063722,0.003476763,-2.506326938
FBXO6,0.359901982,4.329442753,3.151927451,0.002064547,0.003477773,-2.989376807
DEPDC5,0.294733526,3.488064346,3.149557781,0.002080018,0.003503068,-2.829855509
UBR5,0.288030475,6.46481208,3.145863709,0.00210435,0.003541725,-3.127255442
MITD1,0.234442682,3.213311339,3.145023493,0.002109921,0.003550714,-2.780382729
FHOD3,0.874969475,2.552037047,3.143915454,0.002117289,0.003562335,-2.635736028
COL16A1,0.534375629,4.940751553,3.138861806,0.002151198,0.003617411,-3.100434634
AKT1S1,0.241108,5.352515302,3.137031258,0.002163604,0.003637876,-3.13580787
OVOL2,0.490927342,2.561084064,3.13440245,0.002181537,0.003667228,-2.665327551
WDR90,0.432878582,3.923421533,3.132550894,0.00219425,0.003688197,-2.972825615
FGF13,0.669786282,2.179127099,3.132297292,0.002195997,0.003690731,-2.59201109
DYM,0.193722764,4.591008036,3.131010018,0.002204882,0.003704857,-3.086548466
STK35,0.282481208,5.526790711,3.130631291,0.002207503,0.003708856,-3.163408118
C14orf21,0.243067145,3.727688123,3.130236942,0.002210235,0.003713041,-2.938868536
ERCC4,0.212947281,3.683275075,3.12843152,0.002222782,0.003733305,-2.934566553
ULK3,0.224913226,4.767390077,3.12830463,0.002223666,0.003734383,-3.114443518
SF3B1,0.175415993,8.015918676,3.127346936,0.002230351,0.003744617,-3.103930622
RIT1,0.294894524,5.519794108,3.126672515,0.00223507,0.00375149,-3.174594715
P2RX5,0.634644637,1.417399777,3.125324708,0.002244528,0.003766544,-2.476138953
NSMCE1,0.265840345,5.319440538,3.125209961,0.002245335,0.003767488,-3.168230625
CCT6P1,0.413895279,1.507605705,3.124890167,0.002247585,0.003770853,-2.491786572
TLE1,0.329889579,4.85368252,3.124109179,0.00225309,0.003779677,-3.135280679
ZNHIT1,0.328795411,5.807427288,3.123140524,0.002259934,0.003790746,-3.195073551
HKR1,0.289576066,4.482343311,3.122991156,0.002260991,0.003792107,-3.095767472
ODZ3,0.836957671,1.988010597,3.119006654,0.002289362,0.003839271,-2.593131263
DNAJC3,0.266908018,7.042092263,3.118714497,0.002291455,0.003842363,-3.181264706
ITFG1,0.217108418,5.723664028,3.11815339,0.00229548,0.003848693,-3.207178508
GADD45GIP1,0.313904228,4.888663434,3.11786042,0.002297584,0.003851802,-3.156716684
MAPK12,0.506811446,2.920508523,3.11724959,0.002301977,0.003858747,-2.794278903
PLA2G2D,1.203534332,1.627722142,3.115352145,0.002315672,0.003881282,-2.539109648
C11orf1,0.368816569,3.577598916,3.114342487,0.00232299,0.003892278,-2.952229083
RPL37A,0.338491086,9.104277017,3.113629314,0.002328173,0.003900537,-3.081152348
DAPP1,0.471002882,3.83150645,3.113540211,0.002328821,0.003901199,-3.009129914
CCDC90B,0.301119033,4.702749947,3.11284382,0.002333893,0.00390927,-3.152314663
MEX3C,0.243374509,5.253661008,3.110282853,0.002352633,0.003939612,-3.207380507
ZNF253,0.385399826,2.85713665,3.110263627,0.002352774,0.003939612,-2.80020741
C6orf170,0.382640479,1.392616101,3.109783811,0.002356301,0.003945089,-2.517047271
POLR2K,0.299177118,5.439025243,3.103350227,0.002404066,0.004022002,-3.238182483
HERC4,0.21225585,5.138986743,3.102831677,0.002407955,0.00402807,-3.221019306
C4orf52,0.270098393,4.387907596,3.102094874,0.00241349,0.004036892,-3.142897392
DR1,0.21456612,5.788106402,3.101488144,0.002418057,0.004043214,-3.257213079
NNT,0.337678895,6.01293386,3.101417199,0.002418592,0.00404367,-3.261393555
SNRNP70,0.25862096,6.617483154,3.100058287,0.002428852,0.004059943,-3.254841813
BNIP1,0.289749552,3.181499028,3.097893074,0.002445284,0.004086079,-2.909554986
TULP4,0.289907874,5.017420547,3.097133626,0.002451072,0.004094863,-3.227921862
PWP1,0.206986559,5.163676416,3.09675954,0.002453927,0.004098745,-3.240301433
SYNCRIP,0.19881449,7.351008825,3.09593763,0.002460212,0.004108797,-3.230922568
TXNL1,0.253685532,5.731607526,3.095588572,0.002462886,0.004112816,-3.272611293
LTBR,0.335652851,6.695670213,3.091587576,0.002493724,0.004162059,-3.276045453
KAZALD1,0.499578777,1.685753473,3.091432194,0.002494929,0.004163619,-2.61773252
STX4,0.232932289,5.24742557,3.08880177,0.002515408,0.004196885,-3.26889874
PTOV1,0.228635118,6.1979955,3.087920464,0.002522304,0.00420748,-3.300304702
SNRPD3,0.198699055,5.921279359,3.087471555,0.002525823,0.004212894,-3.300413229
FANCE,0.30392241,2.857393833,3.084990249,0.002545358,0.004244558,-2.872942553
RNF31,0.175047716,5.45352423,3.083516687,0.002557025,0.004263091,-3.296004423
MAP6D1,0.458889702,0.611719018,3.081284746,0.002574791,0.004290428,-2.477958285
LAMC1,0.323588909,7.966542718,3.081281899,0.002574814,0.004290428,-3.239642032
FAM109B,0.293659567,4.276613468,3.081246623,0.002575095,0.004290434,-3.185673328
POU2F2,0.657430353,2.560879064,3.080951621,0.002577452,0.004293432,-2.819334143
C2orf42,0.165150948,3.051738622,3.079768454,0.002586926,0.004308747,-2.931872931
RAB33A,0.541209236,-0.203439931,3.079686754,0.002587581,0.004309373,-2.362986485
GTF2F2,0.207692709,4.168733573,3.079227895,0.002591265,0.004315041,-3.173239142
SLC39A9,0.169760602,6.610418947,3.078433251,0.002597655,0.004325215,-3.317285642
CLCN3,0.258609803,5.644681459,3.078128316,0.002600111,0.004328837,-3.31983343
LOC100286793,0.370023316,2.056693514,3.077637686,0.002604068,0.004334956,-2.725132253
CECR6,0.658245361,-0.015579214,3.074450932,0.002629901,0.00437607,-2.404404583
IL21R,0.657877236,2.529860358,3.073818734,0.002635054,0.004384171,-2.833072934
ATP6V1C1,0.218150058,6.164393576,3.072476452,0.002646026,0.004400051,-3.344802083
FAT2,1.138108378,0.139763498,3.07237272,0.002646876,0.004400989,-2.432745693
GLG1,0.231129503,7.799167933,3.072099896,0.002649112,0.004404224,-3.275210658
CMBL,0.659077511,4.859269539,3.072030685,0.00264968,0.004404224,-3.285870054
TNPO3,0.233349767,5.590413743,3.07107049,0.002657564,0.004416505,-3.337934828
GLRB,0.517365753,2.360128376,3.071061132,0.002657641,0.004416505,-2.805131642
EML4,0.282654734,6.771846217,3.068914376,0.002675349,0.004444494,-3.337717062
APOBEC3F,0.387927426,3.055880861,3.068565574,0.002678236,0.004448811,-2.964835503
ZNF565,0.24853983,1.416908126,3.068186248,0.00268138,0.004453552,-2.639879819
RPIA,0.221379111,4.444020424,3.067924077,0.002683554,0.004456684,-3.249030234
PEX16,0.199278016,4.260668917,3.066729114,0.002693486,0.004471251,-3.224613948
PCDHB2,0.72570012,2.652302774,3.06574392,0.0027017,0.004484403,-2.882545001
DPCD,0.394073318,3.598395016,3.065137046,0.002706772,0.004492337,-3.098179242
FCHSD1,0.286983418,3.764134388,3.064310242,0.002713695,0.004503343,-3.136414335
SNHG11,0.270583645,2.61423037,3.063839848,0.002717641,0.004509406,-2.879692247
HECTD3,0.200867556,5.639544724,3.063275061,0.002722386,0.004516793,-3.36212374
