Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
AC004237.1	ENSG00000230612.3	0.11	0.29	-0.217	1.11E-31
AC004381.6	ENSG00000005189.19	2.18	1.45	0.376	3.39E-27
AC004383.3	ENSG00000226107.1	0	0.39	-0.475	3.85E-20
AC004448.2	ENSG00000227078.1	0	0.15	-0.202	1.70E-54
AC004448.5	ENSG00000235979.8	0	0.12	-0.164	3.38E-33
AC004449.6	ENSG00000261204.1	0.1	0.11	-0.013	2.35E-01
AC004453.8	ENSG00000146677.7	2.44	4.83	-0.761	2.56E-19
AC004471.10	ENSG00000272682.1	0.05	0.08	-0.041	1.00E-06
AC004471.9	ENSG00000223461.1	0.16	0.27	-0.131	6.07E-10
AC004490.1	ENSG00000267122.1	0.02	0.2	-0.234	6.37E-112
AC004538.3	ENSG00000230333.6	0.51	0.68	-0.154	2.31E-04
AC004540.4	ENSG00000225792.1	0.72	4.46	-1.667	4.74E-124
AC004540.5	ENSG00000214870.8	1.21	2.88	-0.812	6.93E-51
AC004549.6	ENSG00000229893.2	0.03	0	0.043	1.55E-06
AC004623.3	ENSG00000279488.1	0.32	2.17	-1.264	3.48E-115
AC004754.3	ENSG00000269881.1	0.17	0.29	-0.141	1.02E-16
AC004775.5	ENSG00000272203.1	0	0.1	-0.138	1.33E-37
AC004791.2	ENSG00000267453.6	0.16	0.74	-0.585	1.37E-33
AC004837.3	ENSG00000106540.4	0	0.03	-0.043	2.54E-11
AC004837.5	ENSG00000228554.1	0.12	0.35	-0.269	1.27E-39
AC004870.4	ENSG00000223829.5	0.13	0	0.176	3.93E-29
AC004893.10	ENSG00000238109.1	0.06	0.11	-0.066	1.92E-21
AC004893.11	ENSG00000242687.2	1.7	3.45	-0.721	2.66E-80
AC004947.2	ENSG00000233760.1	0.07	0.43	-0.418	4.82E-58
AC004951.5	ENSG00000239556.2	0.31	0.18	0.151	5.76E-16
AC004951.6	ENSG00000228434.1	0.85	0.97	-0.091	1.59E-01
AC004967.7	ENSG00000243554.1	1.77	0.63	0.765	1.33E-75
AC004980.10	ENSG00000214243.3	0.23	0.41	-0.197	7.14E-11
AC004980.7	ENSG00000205485.13	2.07	3.2	-0.452	4.81E-19
AC004985.12	ENSG00000241057.1	0.12	0.14	-0.026	3.09E-03
AC004987.9	ENSG00000233225.3	0.62	0.59	0.027	3.90E-04
AC004988.1	ENSG00000203446.2	0.18	0.64	-0.475	1.02E-49
AC005009.1	ENSG00000231255.1	0	0.39	-0.475	2.47E-33
AC005009.2	ENSG00000233073.1	0.02	0.2	-0.234	2.04E-49
AC005037.3	ENSG00000183308.6	0.38	0.17	0.238	1.42E-31
AC005042.2	ENSG00000227331.1	0.05	0.12	-0.093	2.10E-13
AC005062.2	ENSG00000243004.5	4.3	6.4	-0.482	1.34E-19
AC005076.5	ENSG00000224046.1	1.04	1.37	-0.216	1.33E-03
AC005077.14	ENSG00000230882.1	0.56	0.13	0.465	1.27E-46
AC005082.12	ENSG00000226816.2	0.2	0.25	-0.059	1.42E-06
AC005083.1	ENSG00000233834.6	5.64	2.08	1.108	8.87E-65
AC005102.1	ENSG00000219039.2	0	0.13	-0.176	9.85E-24
AC005104.3	ENSG00000223374.1	0.98	5.09	-1.621	1.76E-110
AC005154.6	ENSG00000196295.11	17.89	66.031	-1.827	2.02E-99
AC005154.7	ENSG00000244480.1	0.47	2.78	-1.363	4.62E-152
AC005154.8	ENSG00000226874.1	0.2	0.56	-0.379	1.67E-26
AC005220.3	ENSG00000236352.1	0.04	0	0.057	1.54E-02
AC005224.2	ENSG00000231595.1	0.18	0.23	-0.06	5.70E-06
AC005237.4	ENSG00000225521.1	0.14	0.24	-0.121	1.13E-03
AC005251.3	ENSG00000219451.3	0.6	0.29	0.311	3.52E-22
AC005253.2	ENSG00000268030.1	1.17	5.1	-1.491	2.02E-119
AC005255.3	ENSG00000256210.3	6.55	0	2.916	1.41E-137
