Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
KCNC1	ENSG00000129159.6	0.01	0.04	-0.042	4.99E-04
TPH1	ENSG00000129167.9	0.11	0.37	-0.304	4.05E-18
SOX15	ENSG00000129194.7	0.87	1.29	-0.292	4.70E-01
FAM64A	ENSG00000129195.15	4.19	0.48	1.81	1.80E-107
RPAIN	ENSG00000129197.14	23.18	27.86	-0.255	2.29E-06
USP6	ENSG00000129204.16	0.1	0.25	-0.184	1.64E-37
SHBG	ENSG00000129214.14	0.23	0.38	-0.166	3.79E-14
PLD2	ENSG00000129219.13	14.83	32.52	-1.082	3.60E-80
TXNDC17	ENSG00000129235.10	252.247	64.928	1.942	1.05E-170
FXR2	ENSG00000129245.11	20.69	30.21	-0.525	1.10E-38
KIF1C	ENSG00000129250.11	31.611	84.559	-1.392	9.78E-109
MPDU1	ENSG00000129255.14	71.278	58.761	0.274	4.21E-25
PHF20L1	ENSG00000129292.20	12.17	18.07	-0.534	1.68E-28
LRRC6	ENSG00000129295.8	3.07	4.83	-0.518	1.06E-16
PUS7L	ENSG00000129317.14	2.51	1.54	0.467	1.51E-48
KRI1	ENSG00000129347.19	14.92	19.62	-0.373	3.90E-16
ILF3	ENSG00000129351.17	78.378	106.942	-0.443	1.39E-17
SLC44A2	ENSG00000129353.14	80.52	141.356	-0.804	7.90E-59
MTUS1	ENSG00000129422.13	43.281	42.771	0.017	1.20E-01
KLK14	ENSG00000129437.9	0.16	0.35	-0.219	2.09E-02
SIGLEC9	ENSG00000129450.8	3	7.49	-1.086	3.21E-77
KLK10	ENSG00000129451.11	3.57	9.86	-1.249	6.54E-11
KLK8	ENSG00000129455.15	0.21	0.12	0.112	6.11E-21
NGDN	ENSG00000129460.15	32.64	38.059	-0.215	1.46E-04
RIPK3	ENSG00000129465.15	10.28	15.66	-0.563	2.59E-31
RAB2B	ENSG00000129472.12	13.5	15.69	-0.203	2.46E-09
PARP2	ENSG00000129484.13	15.7	21.35	-0.42	8.05E-10
HEATR5A	ENSG00000129493.14	10.11	9.5	0.081	2.50E-05
FOXA1	ENSG00000129514.5	27.739	6.76	1.889	1.11E-104
SNX6	ENSG00000129515.18	44.699	29.11	0.602	1.01E-46
MIS18BP1	ENSG00000129534.13	10.06	12.4	-0.277	1.94E-09
NRL	ENSG00000129535.12	1.07	1.34	-0.177	1.60E-04
RNASE1	ENSG00000129538.13	600.949	885.224	-0.558	9.52E-06
NEDD8	ENSG00000129559.12	218.485	184.144	0.245	1.25E-18
TEP1	ENSG00000129566.12	13.78	21.63	-0.615	2.78E-30
EPB41L4A	ENSG00000129595.12	3.66	8.61	-1.044	9.57E-74
REEP5	ENSG00000129625.12	81.322	60.631	0.418	1.50E-31
ITFG1	ENSG00000129636.12	46.349	38.419	0.264	2.95E-12
QRICH2	ENSG00000129646.13	0.74	2.25	-0.901	1.41E-63
FOXJ1	ENSG00000129654.7	12.69	3.37	1.647	2.94E-15
SEC14L1	ENSG00000129657.14	26.981	86.87	-1.651	1.14E-148
RHBDF2	ENSG00000129667.12	24.75	33.751	-0.432	2.71E-13
MAP7D3	ENSG00000129680.15	2.17	7.06	-1.346	4.03E-124
FGF13	ENSG00000129682.13	2.91	2.04	0.363	1.14E-12
TTI2	ENSG00000129696.12	6.45	5.81	0.13	1.90E-13
SGOL1	ENSG00000129810.14	2.07	0.29	1.251	4.94E-108
RPS4Y1	ENSG00000129824.15	0.42	266.445	-7.557	6.80E-10
KLF16	ENSG00000129911.8	9.02	9.11	-0.013	3.18E-01
TMEM8A	ENSG00000129925.10	68.142	52.61	0.367	6.52E-20
MAU2	ENSG00000129933.20	15.87	32.76	-1.001	8.99E-76
SHC2	ENSG00000129946.10	9.37	37.61	-1.897	4.78E-72
LPPR3	ENSG00000129951.18	0.45	1.29	-0.659	8.05E-21
LBP	ENSG00000129988.5	0.07	0.23	-0.201	4.02E-01
SYT5	ENSG00000129990.14	0.26	0.12	0.17	2.63E-12
TNNI3	ENSG00000129991.12	2.28	2.14	0.063	6.99E-03
GAMT	ENSG00000130005.11	14.37	8.35	0.717	2.02E-23
HDHD1	ENSG00000130021.13	13.76	7.74	0.756	1.73E-43
ERMARD	ENSG00000130023.15	11.09	19.821	-0.784	1.11E-47
PHF10	ENSG00000130024.14	25.77	41.38	-0.663	2.67E-43
PRRG3	ENSG00000130032.15	0.17	0.43	-0.29	1.42E-33
GALNT8	ENSG00000130035.6	0.11	0.35	-0.282	1.00E-03
KCNA5	ENSG00000130037.4	0.2	1.78	-1.212	1.44E-120
NXNL2	ENSG00000130045.15	0.16	0.29	-0.153	1.43E-05
STARD8	ENSG00000130052.13	2.23	20.32	-2.723	6.31E-279
FAM155B	ENSG00000130054.4	0.54	0.06	0.539	8.40E-61
SAT1	ENSG00000130066.16	604.416	1354.551	-1.163	2.16E-66
GNL3L	ENSG00000130119.15	5.06	3.69	0.37	1.86E-14
SH3BP4	ENSG00000130147.15	17.81	14.69	0.262	7.08E-07
MOSPD2	ENSG00000130150.11	5.6	7.91	-0.433	3.92E-31
LDLR	ENSG00000130164.11	26.74	74.001	-1.435	6.65E-71
PRKCSH	ENSG00000130175.9	191.433	151.743	0.333	1.82E-18
ZSCAN10	ENSG00000130182.7	0	0.04	-0.057	1.73E-01
THEM6	ENSG00000130193.7	20.92	13.75	0.572	8.75E-36
EXOC3L2	ENSG00000130201.7	2.22	3.15	-0.366	1.28E-12
PVRL2	ENSG00000130202.9	96.649	75.929	0.344	2.39E-12
TOMM40	ENSG00000130204.12	42.659	28.58	0.562	2.22E-35
GADD45G	ENSG00000130222.10	16.81	21.51	-0.338	4.78E-03
LRCH2	ENSG00000130224.14	0.68	2.8	-1.178	1.71E-96
XPO7	ENSG00000130227.16	18.81	21.54	-0.186	1.21E-06
FAM98C	ENSG00000130244.12	12.64	13.71	-0.109	2.27E-02
SAFB2	ENSG00000130254.11	25.66	55.591	-1.086	9.55E-79
RPL36	ENSG00000130255.12	936.801	710.947	0.398	5.93E-22
KIF1A	ENSG00000130294.14	0.23	0.2	0.036	3.55E-19
GTPBP3	ENSG00000130299.16	10.51	18.31	-0.746	6.78E-27
PLVAP	ENSG00000130300.8	43.03	22.869	0.883	8.13E-23
SLC27A1	ENSG00000130304.16	9.66	14.49	-0.539	2.09E-24
NSUN5	ENSG00000130305.16	25.06	17.65	0.483	7.46E-35
USHBP1	ENSG00000130307.11	1.05	11.1	-2.561	1.69E-252
MRPL34	ENSG00000130312.6	51.85	53.039	-0.032	2.13E-02
PGLS	ENSG00000130313.6	64.69	59.568	0.117	2.34E-06
LSM7	ENSG00000130332.14	91.899	66.879	0.453	7.84E-29
TULP4	ENSG00000130338.12	5.03	4.54	0.122	1.02E-02
SNX9	ENSG00000130340.14	18.93	19.191	-0.019	2.01E-01
RTN4IP1	ENSG00000130347.12	4.19	2.91	0.409	3.73E-51
QRSL1	ENSG00000130348.11	4.62	4.72	-0.025	1.38E-03
RSPH3	ENSG00000130363.11	3.8	3.65	0.046	1.04E-01
MLLT1	ENSG00000130382.8	20.599	38.77	-0.881	4.10E-62
MLLT4	ENSG00000130396.20	39.94	85.153	-1.073	5.06E-62
STK33	ENSG00000130413.15	6.59	6.19	0.078	1.41E-03
NDUFA10	ENSG00000130414.11	65.009	70.311	-0.111	3.26E-01
EPO	ENSG00000130427.2	0.03	0.06	-0.041	2.07E-03
ZSWIM6	ENSG00000130449.5	4.39	9.31	-0.936	1.78E-85
FCHO1	ENSG00000130475.14	5.94	4.73	0.276	4.49E-05
UNC13A	ENSG00000130477.14	0.12	0.21	-0.112	3.41E-01
KLHDC7B	ENSG00000130487.5	1.5	0.58	0.662	4.07E-42
PXDN	ENSG00000130508.10	16.4	26.96	-0.684	2.13E-09
SSBP4	ENSG00000130511.15	44.569	66.421	-0.565	6.52E-28
GDF15	ENSG00000130513.6	58.781	32.78	0.824	2.74E-11
PGPEP1	ENSG00000130517.13	8.21	10.06	-0.264	1.40E-10
KIAA1683	ENSG00000130518.16	0.91	3.81	-1.332	1.32E-68
LSM4	ENSG00000130520.10	106.012	72.69	0.538	1.23E-53
JUND	ENSG00000130522.5	74.847	197.648	-1.389	9.53E-84
HRC	ENSG00000130528.11	0.44	1.93	-1.025	1.10E-87
TRPM4	ENSG00000130529.15	18.55	33.109	-0.803	2.43E-29
SULT4A1	ENSG00000130540.13	0.08	0.15	-0.091	2.36E-08
ZNF557	ENSG00000130544.11	1.89	1.53	0.192	7.51E-18
OLFM1	ENSG00000130558.18	4.57	15.55	-1.571	1.66E-68
UBAC1	ENSG00000130560.8	23.4	30.811	-0.383	8.03E-20
SAG	ENSG00000130561.16	0	0.01	-0.014	5.28E-02
ZBTB46	ENSG00000130584.10	2.51	5.69	-0.931	3.71E-93
HELZ2	ENSG00000130589.16	17.9	14.8	0.259	3.02E-03
SAMD10	ENSG00000130590.13	7.44	3.21	1.003	7.50E-89
LSP1	ENSG00000130592.13	52.57	56.96	-0.114	1.43E-03
TNNT3	ENSG00000130595.16	0.27	3.25	-1.743	8.94E-115
TNNI2	ENSG00000130598.15	2.13	10.38	-1.862	1.73E-95
H19	ENSG00000130600.15	33.43	52.261	-0.629	4.28E-01
TUBGCP2	ENSG00000130640.13	35.569	45.972	-0.361	7.18E-19
PNPLA7	ENSG00000130653.15	1.84	6.85	-1.467	2.78E-71
HBZ	ENSG00000130656.4	0	0.29	-0.367	4.66E-81
PAK4	ENSG00000130669.17	34.76	46.71	-0.416	3.88E-15
MNX1	ENSG00000130675.14	1.2	0.06	1.053	6.80E-86
ZNF337	ENSG00000130684.13	7.47	15.96	-1.002	8.33E-73
GATA5	ENSG00000130700.6	0.28	1.83	-1.145	5.18E-130
RBBP8NL	ENSG00000130701.3	1.94	0.17	1.329	1.82E-150
LAMA5	ENSG00000130702.13	55.111	239.203	-2.098	1.59E-77
OSBPL2	ENSG00000130703.15	20.081	24.841	-0.294	6.06E-10
PRDM12	ENSG00000130711.3	0.05	0.02	0.042	1.21E-34
EXOSC2	ENSG00000130713.15	13.21	12.27	0.099	2.32E-06
POMT1	ENSG00000130714.15	15.46	24.87	-0.652	1.31E-44
UCK1	ENSG00000130717.12	16.03	22.45	-0.461	4.36E-29
FIBCD1	ENSG00000130720.12	0.59	2.67	-1.207	4.33E-32
PRRC2B	ENSG00000130723.17	40.07	51.699	-0.36	2.21E-12
UBE2M	ENSG00000130725.7	56.148	52.749	0.088	3.83E-07
TRIM28	ENSG00000130726.11	258.155	202.572	0.348	2.11E-25
YIPF2	ENSG00000130733.10	63.482	39.319	0.677	7.21E-66
TMEM160	ENSG00000130748.6	9.06	13.02	-0.479	5.13E-25
ZC3H4	ENSG00000130749.9	12.05	10.56	0.175	2.89E-07
NPAS1	ENSG00000130751.9	0.98	0.73	0.195	1.93E-12
GMFG	ENSG00000130755.12	45.229	136.418	-1.572	2.98E-134
MAP3K10	ENSG00000130758.7	7.15	11.98	-0.671	2.11E-31
SESN2	ENSG00000130766.4	7.3	8.93	-0.259	3.02E-10
SMPDL3B	ENSG00000130768.14	34.83	6.03	2.35	8.25E-138
MED18	ENSG00000130772.13	11.18	6.34	0.731	2.10E-75
THEMIS2	ENSG00000130775.15	27.35	62.219	-1.157	5.07E-85
HIP1R	ENSG00000130787.13	20.52	31.879	-0.612	4.75E-15
ZNF317	ENSG00000130803.14	11.9	14.44	-0.259	1.36E-18
SLC6A8	ENSG00000130821.15	13.24	9.65	0.419	5.03E-10
PNCK	ENSG00000130822.15	0.57	0.69	-0.106	1.72E-01
PLXNA3	ENSG00000130827.6	21.651	30.391	-0.471	2.68E-13
MPP1	ENSG00000130830.14	14.77	53.489	-1.789	4.81E-140
ZNF331	ENSG00000130844.16	8.39	39.159	-2.097	1.70E-140
ZNF236	ENSG00000130856.15	1.82	2.57	-0.34	4.10E-23
SLC7A10	ENSG00000130876.11	0.35	0.11	0.282	1.07E-26
LRP3	ENSG00000130881.13	11.03	13.43	-0.262	3.33E-07
NOL11	ENSG00000130935.9	29.78	17.66	0.722	3.68E-85
UBE4B	ENSG00000130939.18	17.39	18.88	-0.112	1.75E-01
PKDREJ	ENSG00000130943.6	0.05	0.06	-0.014	1.26E-01
HSD17B3	ENSG00000130948.9	0.27	1.66	-1.067	2.23E-97
HABP4	ENSG00000130956.13	6.15	11.32	-0.785	1.80E-76
FBP2	ENSG00000130957.4	0.04	0.2	-0.206	1.00E-31
SLC35D2	ENSG00000130958.11	22.85	25.63	-0.159	1.22E-02
PRRG1	ENSG00000130962.17	1.9	4.98	-1.044	2.63E-97
UBA1	ENSG00000130985.16	120.918	118.389	0.03	4.40E-01
RGN	ENSG00000130988.12	4.73	19.12	-1.812	4.12E-105
POLN	ENSG00000130997.16	0.53	1.18	-0.511	2.09E-36
TXLNGY	ENSG00000131002.11	0.06	16.48	-4.044	2.12E-17
PPIL4	ENSG00000131013.3	13.74	16.88	-0.279	3.22E-16
ULBP2	ENSG00000131015.4	1.52	3.1	-0.702	4.92E-16
SYNE1	ENSG00000131018.22	18.491	64.061	-1.739	1.13E-125
ULBP3	ENSG00000131019.10	1.34	0.61	0.539	4.85E-37
LATS1	ENSG00000131023.12	5.31	6.6	-0.268	1.89E-14
EPS8L1	ENSG00000131037.14	38.51	25.34	0.585	2.35E-14
LILRB2	ENSG00000131042.13	5.76	22.19	-1.778	1.11E-106
TTLL9	ENSG00000131044.16	0.26	0.95	-0.63	3.02E-39
RBM39	ENSG00000131051.20	121.987	276.53	-1.174	2.83E-67
ZNF341	ENSG00000131061.13	3.81	2.88	0.31	2.55E-17
GGT7	ENSG00000131067.16	11.2	15.3	-0.418	1.88E-12
GFAP	ENSG00000131095.11	0.24	0.66	-0.421	1.04E-15
PYY	ENSG00000131096.10	0.03	0.05	-0.028	8.91E-02
HIGD1B	ENSG00000131097.6	4.88	44.591	-2.955	7.83E-171
ZNF227	ENSG00000131115.15	5.59	6.6	-0.206	3.08E-09
ZNF428	ENSG00000131116.11	28.63	27.31	0.066	7.53E-03
ZNF141	ENSG00000131127.13	3.91	7.56	-0.802	1.10E-56
GSE1	ENSG00000131149.17	21.711	28.15	-0.36	2.75E-10
RP11-178L8.4	ENSG00000131152.4	0.23	0.52	-0.305	7.46E-21
GINS2	ENSG00000131153.8	4.26	0.6	1.717	6.85E-129
SH3BGRL	ENSG00000131171.12	69.189	91.823	-0.403	2.23E-23
SLC34A1	ENSG00000131183.10	0.02	0	0.029	5.08E-08
F12	ENSG00000131187.9	3.95	0.79	1.467	1.89E-101
PRR7	ENSG00000131188.11	2.15	1.39	0.398	9.68E-11
NFATC1	ENSG00000131196.17	6.51	13.92	-0.99	3.19E-92
IDO1	ENSG00000131203.12	16.57	14.99	0.136	1.94E-02
GJA9	ENSG00000131233.9	0.17	0.07	0.129	3.81E-32
PPT1	ENSG00000131238.16	97.91	70.589	0.466	6.73E-18
RAB11FIP4	ENSG00000131242.15	9.68	4.83	0.873	5.95E-50
RLIM	ENSG00000131263.12	8.49	10.17	-0.235	3.39E-16
TRAF3	ENSG00000131323.14	7.3	6.65	0.118	1.97E-01
HAUS8	ENSG00000131351.14	8.09	6.79	0.223	3.19E-09
MRPS25	ENSG00000131368.7	37.959	47.13	-0.305	2.20E-03
SH3BP5	ENSG00000131370.15	22.32	75.378	-1.712	8.41E-123
HACL1	ENSG00000131373.14	8.94	11.51	-0.332	2.73E-15
TBC1D5	ENSG00000131374.14	10.25	13.19	-0.335	2.34E-15
RFTN1	ENSG00000131378.13	25.509	48.24	-0.893	2.10E-44
RBSN	ENSG00000131381.12	6.61	8.62	-0.338	2.82E-19
GALNT15	ENSG00000131386.17	0.82	5.56	-1.85	7.33E-89
SLC6A6	ENSG00000131389.16	18.6	29.13	-0.62	8.23E-36
KCNC3	ENSG00000131398.13	3.75	4.83	-0.296	8.68E-04
NAPSA	ENSG00000131400.7	1060.11	863.528	0.296	2.09E-02
NAPSB	ENSG00000131401.11	14.19	11.69	0.259	1.50E-01
NR1H2	ENSG00000131408.13	53.571	75.64	-0.49	1.96E-36
LRRC4B	ENSG00000131409.12	0.51	3.44	-1.556	2.30E-142
PDLIM4	ENSG00000131435.12	15.79	10.29	0.573	1.61E-07
KIF3A	ENSG00000131437.15	3.92	3.8	0.036	4.54E-01
MGAT1	ENSG00000131446.15	86.629	149.499	-0.78	6.71E-66
GFPT2	ENSG00000131459.12	4.81	20.141	-1.863	8.23E-83
TUBG1	ENSG00000131462.7	39.099	21.099	0.86	5.30E-63
PSME3	ENSG00000131467.10	59.288	38.17	0.622	2.76E-41
RPL27	ENSG00000131469.12	2016.167	1457.721	0.468	5.62E-34
PSMC3IP	ENSG00000131470.14	5.45	5.3	0.034	7.76E-03
VPS25	ENSG00000131475.6	61.742	42.499	0.528	6.17E-72
RAMP2	ENSG00000131477.10	21.9	149.904	-2.72	8.94E-203
RP11-798G7.5	ENSG00000131484.4	0.37	0.58	-0.206	4.07E-08
NDUFA2	ENSG00000131495.8	88.199	68.26	0.365	9.52E-33
NDFIP1	ENSG00000131507.10	39.901	44.12	-0.142	3.53E-02
UBE2D2	ENSG00000131508.15	91.088	94.267	-0.049	2.17E-01
EXOC4	ENSG00000131558.14	22.239	18.5	0.253	2.73E-14
PPFIA1	ENSG00000131626.15	20.12	26.559	-0.384	1.47E-20
TMEM204	ENSG00000131634.13	9.85	68.379	-2.677	1.32E-209
KREMEN2	ENSG00000131650.13	0.24	0.08	0.199	2.68E-30
THOC6	ENSG00000131652.13	26.06	24.401	0.091	4.00E-06
TRAF7	ENSG00000131653.12	41.57	36.101	0.198	4.87E-13
NPHP4	ENSG00000131697.17	4.23	8.45	-0.853	3.75E-67
MAP1B	ENSG00000131711.14	2.92	5.81	-0.797	8.83E-17
IL13RA1	ENSG00000131724.10	48.799	39.061	0.314	8.35E-12
WDR44	ENSG00000131725.13	5.92	6.26	-0.069	3.01E-01
ZCCHC9	ENSG00000131732.11	18.05	14.93	0.258	6.78E-28
TNS4	ENSG00000131746.12	2.73	0.42	1.393	1.63E-49
TOP2A	ENSG00000131747.14	25.141	2	3.123	1.04E-158
STARD3	ENSG00000131748.15	40.559	77.729	-0.922	1.01E-56
RARA	ENSG00000131759.17	31.871	57.831	-0.84	1.43E-59
PPP1R1B	ENSG00000131771.13	24.841	11.37	1.063	1.00E-12
KHDRBS3	ENSG00000131773.13	9.55	13.06	-0.414	1.32E-09
PEX11B	ENSG00000131779.10	34.021	24	0.486	1.57E-56
FMO5	ENSG00000131781.12	18.04	14.59	0.288	9.07E-03
PIAS3	ENSG00000131788.15	32.64	38.66	-0.238	2.98E-01
PRKAB2	ENSG00000131791.7	5.41	9.41	-0.7	8.63E-40
PDHA1	ENSG00000131828.13	74.089	94.943	-0.354	2.64E-07
RAI2	ENSG00000131831.17	4.26	29.27	-2.525	2.76E-219
MCCC2	ENSG00000131844.15	27.49	18.09	0.578	2.79E-56
ZNF304	ENSG00000131845.14	3.3	4.54	-0.366	9.30E-24
ZSCAN5A	ENSG00000131848.9	4.17	5.29	-0.283	8.69E-11
ZNF132	ENSG00000131849.10	1.51	1.93	-0.223	1.34E-06
VIMP	ENSG00000131871.14	77.53	76.15	0.026	2.06E-03
KRT17P1	ENSG00000131885.16	0.02	0	0.029	8.54E-03
LLGL1	ENSG00000131899.10	8.58	7.11	0.24	1.48E-09
NR0B2	ENSG00000131910.4	0.81	1.44	-0.431	1.23E-01
THAP1	ENSG00000131931.8	5.84	4.52	0.309	2.32E-33
RHPN2	ENSG00000131941.7	11.01	4.09	1.238	7.77E-74
FAAP24	ENSG00000131944.9	2.78	1.18	0.794	1.99E-97
GCH1	ENSG00000131979.18	7.82	11.07	-0.453	1.20E-18
LGALS3	ENSG00000131981.15	405.961	309.65	0.39	9.17E-05
PODNL1	ENSG00000132000.11	8.67	4.32	0.862	4.56E-29
ZSWIM4	ENSG00000132003.9	7.87	5.45	0.46	4.18E-11
FBXW9	ENSG00000132004.12	6.72	4.78	0.418	5.12E-20
RFX1	ENSG00000132005.8	6.62	8.09	-0.255	4.75E-13
RTBDN	ENSG00000132026.13	0.27	0	0.345	1.65E-34
MATN3	ENSG00000132031.12	2.84	7.66	-1.173	4.05E-37
SPATA6	ENSG00000132122.11	3.11	5.3	-0.616	1.10E-37
LRRC41	ENSG00000132128.16	43.281	40.299	0.101	7.80E-05
RAF1	ENSG00000132155.11	41.981	77.46	-0.868	1.15E-79
SLC6A11	ENSG00000132164.9	0.05	0.03	0.028	5.33E-22
PPARG	ENSG00000132170.19	10.33	21.36	-0.981	4.00E-47
NUP210	ENSG00000132182.11	13.88	7.45	0.816	7.86E-45
FCRLA	ENSG00000132185.16	1.68	0.33	1.011	1.59E-57
HSD17B7	ENSG00000132196.13	14.97	19.45	-0.357	1.21E-11
LINC00470	ENSG00000132204.13	0.02	0.05	-0.042	1.61E-02
SLX1A	ENSG00000132207.17	29.92	37.059	-0.3	9.84E-04
TRIM5	ENSG00000132256.18	12.93	15.7	-0.262	1.29E-11
TRIM22	ENSG00000132274.15	37.25	97.93	-1.371	1.80E-95
RRP8	ENSG00000132275.10	15.38	14.67	0.064	4.26E-01
TIMM10B	ENSG00000132286.11	17.36	19.58	-0.165	1.92E-03
PTCD3	ENSG00000132300.18	23.74	37.93	-0.654	1.34E-29
IMMT	ENSG00000132305.20	40.52	37.491	0.109	1.90E-06
MRPL35	ENSG00000132313.14	23.56	12.99	0.812	9.38E-101
IQCA1	ENSG00000132321.16	1.47	2.78	-0.614	3.82E-11
ILKAP	ENSG00000132323.8	23.209	40.059	-0.762	1.97E-60
PER2	ENSG00000132326.11	6.34	5.71	0.129	1.57E-02
RAMP1	ENSG00000132329.10	40.551	22.119	0.846	1.94E-13
SCLY	ENSG00000132330.16	7.72	6.24	0.268	1.64E-15
PTPRE	ENSG00000132334.16	14.97	25.479	-0.729	4.78E-40
RAN	ENSG00000132341.11	445.968	258.818	0.783	8.53E-65
PRKAA1	ENSG00000132356.11	23.169	28.551	-0.29	4.36E-06
RAP1GAP2	ENSG00000132359.13	5.63	6.87	-0.247	9.12E-06
INPP5K	ENSG00000132376.19	20.82	50.899	-1.25	1.25E-144
MYBBP1A	ENSG00000132382.14	24.47	27.42	-0.158	7.40E-06
RPA1	ENSG00000132383.11	32.491	27.45	0.235	7.07E-15
SERPINF1	ENSG00000132386.10	115.311	171.991	-0.573	3.34E-14
UBE2G1	ENSG00000132388.12	18.03	17.01	0.079	2.85E-02
TBC1D14	ENSG00000132405.18	20.88	25.389	-0.27	3.02E-07
TMEM128	ENSG00000132406.11	23.75	21.8	0.118	1.59E-05
PNISR	ENSG00000132424.14	27.66	114.483	-2.011	1.12E-121
POPDC3	ENSG00000132429.9	0.26	0.5	-0.252	1.99E-05
SEC61G	ENSG00000132432.13	251.915	150.518	0.739	2.63E-53
LANCL2	ENSG00000132434.9	8.18	5.73	0.448	1.18E-44
FIGNL1	ENSG00000132436.11	5.94	2.52	0.979	1.74E-79
GRSF1	ENSG00000132463.13	56.629	42.13	0.418	2.38E-40
JCHAIN	ENSG00000132465.10	316.2	121.363	1.374	4.19E-22
UTP3	ENSG00000132467.3	19.2	16.979	0.168	3.80E-09
ITGB4	ENSG00000132470.13	71.818	19.76	1.81	2.21E-64
WBP2	ENSG00000132471.11	98.182	160.741	-0.706	1.64E-62
H3F3B	ENSG00000132475.8	775.239	724.227	0.098	1.96E-02
UNK	ENSG00000132478.9	16.44	16.731	-0.024	3.26E-01
TRIM47	ENSG00000132481.6	39.971	30.33	0.387	4.53E-06
ZRANB2	ENSG00000132485.12	31.081	65.78	-1.058	2.19E-80
KDM6B	ENSG00000132510.10	10.97	23.369	-1.026	1.14E-66
SLC52A1	ENSG00000132517.14	1.19	0.29	0.764	5.40E-39
GUCY2D	ENSG00000132518.6	0.66	0.47	0.175	8.17E-12
GPS2	ENSG00000132522.15	45.029	66.661	-0.556	5.41E-38
XAF1	ENSG00000132530.16	16.14	41.59	-1.313	1.39E-58
HRSP12	ENSG00000132541.10	20.44	13.39	0.575	1.64E-49
VPS13B	ENSG00000132549.18	5.84	9.1	-0.562	8.06E-46
RGS22	ENSG00000132554.19	0.45	1.52	-0.797	2.14E-40
MATN2	ENSG00000132561.13	5.61	13.03	-1.086	7.27E-31
REEP2	ENSG00000132563.15	1	0.94	0.044	3.74E-05
PCBD2	ENSG00000132570.14	5.94	4.52	0.33	2.16E-30
SDF2	ENSG00000132581.9	66.948	49.531	0.427	2.42E-44
ERAL1	ENSG00000132591.11	36.61	24.841	0.541	8.03E-63
PRMT7	ENSG00000132600.16	22.45	25.141	-0.157	1.02E-01
NIP7	ENSG00000132603.13	18.911	9.74	0.891	3.52E-97
TERF2	ENSG00000132604.10	15.16	13.72	0.135	2.69E-06
VPS4A	ENSG00000132612.15	27.92	40.709	-0.528	9.62E-48
MTSS1L	ENSG00000132613.14	23.18	43.949	-0.894	2.74E-41
HSPA12B	ENSG00000132622.10	1.86	19.889	-2.869	1.09E-260
PCED1A	ENSG00000132635.16	17.859	41.81	-1.183	6.53E-68
SNAP25	ENSG00000132639.12	0.61	1.91	-0.854	9.03E-23
PCNA	ENSG00000132646.10	73.802	37.731	0.95	4.45E-92
NXT1	ENSG00000132661.3	19.849	17.79	0.15	7.78E-05
RIN2	ENSG00000132669.12	18.4	28.3	-0.595	2.79E-44
PTPRA	ENSG00000132670.20	31.721	35.579	-0.161	2.24E-05
SSTR4	ENSG00000132671.5	0	0.05	-0.07	8.73E-47
RHBG	ENSG00000132677.12	0.37	0.02	0.426	1.75E-37
KIAA0907	ENSG00000132680.10	20.9	40.81	-0.933	7.21E-25
NES	ENSG00000132688.10	8.48	39.51	-2.095	2.58E-125
RAB25	ENSG00000132698.13	168.032	52.33	1.664	2.19E-126
HAPLN2	ENSG00000132702.12	0.05	0.79	-0.77	5.49E-121
FCRL2	ENSG00000132704.15	0.98	0.74	0.186	2.53E-08
SYT11	ENSG00000132718.8	3.34	7.63	-0.992	2.50E-72
IGHMBP2	ENSG00000132740.8	8.14	13.74	-0.689	1.10E-41
MTL5	ENSG00000132749.10	2.17	0.69	0.907	1.86E-50
MMACHC	ENSG00000132763.14	3.08	1.37	0.784	2.41E-103
MUTYH	ENSG00000132781.17	11.08	18.48	-0.689	8.56E-30
LPIN3	ENSG00000132793.11	7.67	14.95	-0.879	2.94E-25
ZSWIM3	ENSG00000132801.6	2.55	1.57	0.466	5.53E-53
RBM38	ENSG00000132819.16	20.129	20.941	-0.054	3.70E-01
VSTM2L	ENSG00000132821.11	31.31	9.89	1.569	6.66E-27
OSER1	ENSG00000132823.10	24.34	34.551	-0.488	2.69E-29
SERINC3	ENSG00000132824.13	52.131	61.252	-0.229	1.64E-11
PPP1R3D	ENSG00000132825.6	4.25	3.44	0.242	5.01E-23
LINC01260	ENSG00000132832.9	0.17	0.25	-0.095	1.48E-05
ZBED3	ENSG00000132846.5	3.06	4.31	-0.387	5.39E-08
INADL	ENSG00000132849.18	12.44	8.27	0.536	2.17E-27
KANK4	ENSG00000132854.18	0.4	1.38	-0.766	7.70E-31
SLC14A2	ENSG00000132874.13	0.05	0.17	-0.156	1.29E-09
FBXO44	ENSG00000132879.13	14.06	19.601	-0.452	2.73E-22
RSG1	ENSG00000132881.11	3.56	2.97	0.2	9.22E-11
NMUR2	ENSG00000132911.4	0.03	0.22	-0.244	3.62E-22
PDE6A	ENSG00000132915.10	0.05	0.13	-0.106	9.94E-15
ZMYM5	ENSG00000132950.18	5.79	8.16	-0.432	2.35E-30
USPL1	ENSG00000132952.11	6.12	10.92	-0.743	1.40E-77
XPO4	ENSG00000132953.16	3.16	4.53	-0.411	1.67E-31
TPTE2	ENSG00000132958.17	0.07	0.05	0.027	1.46E-10
POMP	ENSG00000132963.7	74.372	65.748	0.175	1.33E-06
