Gene Module Number	EnsemblID
1	ENSG00000152217
1	ENSG00000152583
1	ENSG00000152990
1	ENSG00000153162
1	ENSG00000153208
1	ENSG00000153253
1	ENSG00000153885
1	ENSG00000154065
1	ENSG00000154122
1	ENSG00000154133
1	ENSG00000154188
1	ENSG00000154310
1	ENSG00000154342
1	ENSG00000154358
1	ENSG00000154767
1	ENSG00000154783
1	ENSG00000155254
1	ENSG00000155324
1	ENSG00000156011
1	ENSG00000156298
1	ENSG00000156966
1	ENSG00000157240
1	ENSG00000157404
1	ENSG00000157510
1	ENSG00000157554
1	ENSG00000158270
1	ENSG00000158301
1	ENSG00000158352
1	ENSG00000158435
1	ENSG00000159164
1	ENSG00000159640
1	ENSG00000159692
1	ENSG00000160190
1	ENSG00000160191
1	ENSG00000160469
1	ENSG00000160867
1	ENSG00000161940
1	ENSG00000162367
1	ENSG00000162407
1	ENSG00000162493
1	ENSG00000162552
1	ENSG00000162576
1	ENSG00000162591
1	ENSG00000162599
1	ENSG00000162618
1	ENSG00000162627
1	ENSG00000162729
1	ENSG00000162733
1	ENSG00000162817
1	ENSG00000163072
1	ENSG00000163273
1	ENSG00000163328
1	ENSG00000163359
1	ENSG00000163378
1	ENSG00000163430
1	ENSG00000163435
1	ENSG00000163520
1	ENSG00000163710
1	ENSG00000163827
1	ENSG00000164056
1	ENSG00000164116
1	ENSG00000164176
1	ENSG00000164488
1	ENSG00000164692
1	ENSG00000164741
1	ENSG00000165125
1	ENSG00000165659
1	ENSG00000165757
1	ENSG00000165821
1	ENSG00000165995
1	ENSG00000166025
1	ENSG00000166086
1	ENSG00000166105
1	ENSG00000166147
1	ENSG00000166257
1	ENSG00000166265
1	ENSG00000166292
1	ENSG00000166398
1	ENSG00000166482
1	ENSG00000166813
1	ENSG00000166886
1	ENSG00000167123
1	ENSG00000168056
1	ENSG00000168060
1	ENSG00000168077
1	ENSG00000168264
1	ENSG00000168490
1	ENSG00000168497
1	ENSG00000168502
1	ENSG00000168542
1	ENSG00000168621
1	ENSG00000168818
1	ENSG00000168890
1	ENSG00000169047
1	ENSG00000169291
1	ENSG00000169302
1	ENSG00000169418
1	ENSG00000169435
1	ENSG00000169504
1	ENSG00000169604
1	ENSG00000169744
1	ENSG00000170017
1	ENSG00000170364
1	ENSG00000170549
1	ENSG00000170558
1	ENSG00000170915
1	ENSG00000171016
1	ENSG00000171033
1	ENSG00000171243
1	ENSG00000171346
1	ENSG00000171444
1	ENSG00000171462
1	ENSG00000171791
1	ENSG00000171812
1	ENSG00000171867
1	ENSG00000172348
1	ENSG00000172458
1	ENSG00000172638
1	ENSG00000172889
1	ENSG00000173040
1	ENSG00000173210
1	ENSG00000173269
1	ENSG00000173546
1	ENSG00000173706
1	ENSG00000173805
1	ENSG00000174059
1	ENSG00000174226
1	ENSG00000174348
1	ENSG00000174370
1	ENSG00000174567
1	ENSG00000174640
1	ENSG00000175471
1	ENSG00000175920
1	ENSG00000176393
1	ENSG00000176428
1	ENSG00000176435
1	ENSG00000176771
1	ENSG00000176971
1	ENSG00000177076
1	ENSG00000177303
1	ENSG00000177469
1	ENSG00000177707
1	ENSG00000177732
1	ENSG00000178031
1	ENSG00000178222
1	ENSG00000178947
1	ENSG00000179104
1	ENSG00000179348
1	ENSG00000179431
1	ENSG00000179776
1	ENSG00000180739
1	ENSG00000180875
1	ENSG00000181104
1	ENSG00000182175
1	ENSG00000182272
1	ENSG00000182492
1	ENSG00000182534
1	ENSG00000182621
1	ENSG00000182871
1	ENSG00000182985
1	ENSG00000183087
1	ENSG00000183160
1	ENSG00000183722
1	ENSG00000183729
1	ENSG00000183734
1	ENSG00000183853
1	ENSG00000183963
1	ENSG00000184113
1	ENSG00000184564
1	ENSG00000184916
1	ENSG00000184985
1	ENSG00000185070
1	ENSG00000185418
1	ENSG00000185652
1	ENSG00000185668
1	ENSG00000185924
1	ENSG00000186260
1	ENSG00000186318
1	ENSG00000186462
1	ENSG00000186732
1	ENSG00000186994
1	ENSG00000186998
1	ENSG00000187068
1	ENSG00000187134
1	ENSG00000187193
1	ENSG00000187244
1	ENSG00000187513
1	ENSG00000187678
1	ENSG00000187720
1	ENSG00000187955
1	ENSG00000188153
1	ENSG00000188677
1	ENSG00000189376
1	ENSG00000196139
1	ENSG00000196569
1	ENSG00000197256
1	ENSG00000197321
