"Gene"	"log2FC"	"FDR"
"186"	"CGB5"	-1.48804808711888	8.65301773982963e-24
"187"	"SPATA4"	-2.59993955681306	8.7129457863156e-24
"188"	"DHFR"	-1.62915211888691	8.92293858639442e-24
"189"	"CTPS"	-1.66246006771428	9.08337003944135e-24
"190"	"TSHZ2"	-3.24633185594264	9.77374779194839e-24
"191"	"PTTG1"	-2.29297915104443	1.00022199845625e-23
"192"	"ADAM12"	-2.19427309611593	1.02374496949566e-23
"193"	"USP24"	2.4303492720301	1.13669869616071e-23
"194"	"CALCOCO2"	2.90180153186901	1.17650235035851e-23
"195"	"FAM83H"	-2.05214841897218	1.27649538094109e-23
"196"	"SH3BP5"	2.41262480525695	1.36782528714336e-23
"197"	"STAMBP"	-2.13812891374285	1.45335311599965e-23
"198"	"STON2"	-2.05835224161413	1.46610761116134e-23
"199"	"HIF1A"	-2.44207211374852	1.46680607191072e-23
"200"	"GLYATL2"	-2.48378362225364	1.50861579067703e-23
"201"	"GAPDH"	-2.16933792881401	1.53673055749996e-23
"202"	"PRDM6"	1.4538199937421	1.54356659176634e-23
"203"	"C9orf70"	2.64391581985804	1.60491011827328e-23
"204"	"ZNF833"	3.07678063428976	1.63702664789458e-23
"205"	"ZNF385A"	-2.1948285366109	1.77665853041456e-23
"206"	"RABEPK"	-1.45573558375968	1.77665853041456e-23
"207"	"PCDHGA8"	1.05345995633735	1.88742046862233e-23
"208"	"FGD6"	-1.97800655250598	1.90703936271136e-23
"209"	"SPERT"	-2.08299180881682	1.9282997298026e-23
"210"	"FAM55D"	-1.57047147360572	2.01488430861413e-23
"211"	"CMA1"	-2.1289783752212	2.052224455794e-23
"212"	"MCART1"	-1.26146164130699	2.15990910000007e-23
"213"	"CALML3"	-4.81157936212556	2.24705826162957e-23
"214"	"ACSBG2"	-3.46233171205874	2.38655088620063e-23
"215"	"BTN1A1"	1.9523113048834	2.53425309990393e-23
"216"	"PEG3"	2.07994931293038	2.63929718910381e-23
"217"	"PAQR4"	-1.11331503408301	2.78385210076382e-23
"218"	"PRIM2"	-2.53522280512139	2.93515247162316e-23
"219"	"FTH1"	-1.91247893334904	2.93515247162316e-23
"220"	"C21orf84"	1.85622028256474	2.95345729374531e-23
"221"	"RBM12B"	-2.2237892067171	2.97425946952442e-23
"222"	"LRIT2"	-2.1254214214175	2.97425946952442e-23
"223"	"F10"	1.13650660321839	3.02023333138829e-23
"224"	"FASTK"	-1.28255697728239	3.04945331223004e-23
"225"	"HNRNPA1L2"	-2.21916823393329	3.08780810777986e-23
"226"	"JUP"	-1.97657185351188	3.1378369875115e-23
"227"	"SEC16B"	-2.49377030505752	3.44347826849007e-23
"228"	"SOX17"	2.69506367735385	3.47958542235095e-23
"229"	"C20orf186"	-2.24639152447682	4.4773108147139e-23
"230"	"NKIRAS2"	-1.38774903259046	4.55984437798927e-23
"231"	"AP1S1"	-0.953180016155269	4.5690707694701e-23
"232"	"TAOK2"	1.64343153829337	5.33636351660643e-23
"233"	"PCGF1"	-1.63097713716401	5.67633633166036e-23
"234"	"PKP3"	-1.95694839387416	6.1200295022605e-23
"235"	"CHST4"	-2.62431209159145	6.37512069185425e-23
"236"	"PRDM4"	-1.60232870007276	6.43233880237985e-23
"237"	"DNALI1"	2.11778158317703	6.60689690354972e-23
"238"	"ACTA1"	2.31714031420718	6.69708237096593e-23
"239"	"LTB4R2"	-2.34524104897927	7.58788354519159e-23
"240"	"ADCY3"	-2.65919305246355	7.60988481628582e-23
"241"	"KLK2"	-1.78597277539776	7.6651743197501e-23
"242"	"GLCE"	-1.74815007246994	7.7588997333177e-23
"243"	"MOGAT2"	-1.49503279453583	8.05459592390287e-23
"244"	"ZNRF2"	-2.52150819601021	8.2470182688818e-23
"245"	"GTF2IRD1"	-2.29519549836417	8.48686937653785e-23
"246"	"TRIM14"	-1.9292127847424	8.77508937459605e-23
"247"	"ANAPC1"	-1.31276211480646	9.26015594527479e-23
"248"	"DQX1"	-3.18620723699321	9.27786351846516e-23
"249"	"C4orf31"	2.27029634585705	9.27786351846516e-23
"250"	"TAL1"	2.1895427714555	9.98540508820439e-23
"251"	"PVRL1"	-2.3558211037605	1.12001325454991e-22
"252"	"LINC02591"	1.05630299033638	1.30341359763503e-22
"253"	"ADAM28"	-2.79210519825624	1.37746773286593e-22
"254"	"GJB3"	-2.36517644821024	1.39883894638338e-22
"255"	"ALOXE3"	-1.34221244016831	1.46663861490383e-22
"256"	"GCK"	3.14334227097114	1.46663861490383e-22
"257"	"C10orf90"	-2.08691911284519	1.47265407224925e-22
"258"	"SPC25"	-1.49939481050813	1.60806301075537e-22
"259"	"OTP"	2.06341106521166	1.63044950049224e-22
"260"	"SLBP"	-1.41801224657612	1.68206477683631e-22
"261"	"F11R"	-3.56764099075347	1.70302480859894e-22
"262"	"MDC1"	-2.3038316544978	1.70302480859894e-22
"263"	"TCTEX1D1"	2.15357397738142	1.72591144460905e-22
"264"	"PAK6"	-2.49961798533047	1.75584122978908e-22
"265"	"FZD4"	1.65404630076517	1.86701023590763e-22
"266"	"PVT1"	-3.07216155944458	1.88586874644237e-22
"267"	"C4orf43"	-2.3941117925006	1.93665691649298e-22
"268"	"TSSC1"	-3.03358846423119	2.15082465614217e-22
"269"	"EP400"	-1.89831846422579	2.33272607070806e-22
"270"	"SLC2A1"	-2.34051151986849	2.37300465402206e-22
"271"	"DOK1"	4.47895447715533	2.48754188742902e-22
"272"	"SAAL1"	-2.00079102724182	2.48754188742902e-22
"273"	"AXIN2"	2.59525562668159	2.5573381088287e-22
"274"	"MEI1"	4.48606715511671	2.65232732748359e-22
"275"	"DUT"	-2.34273392798189	2.65232732748359e-22
"276"	"HOXD10"	1.91159020835578	2.75737831121401e-22
"277"	"FAIM2"	1.85721398235213	2.90306204711393e-22
"278"	"CEP350"	-1.64041434626247	2.90306204711393e-22
"279"	"RGS22"	2.83401560582838	2.91117325404715e-22
"280"	"PRKAR1B"	-3.22200685681762	3.26997043562028e-22
"281"	"FOXF1"	2.62538571042452	3.46732394660457e-22
"282"	"PRSS16"	-0.830099088447193	3.52334474416842e-22
"283"	"NOP56"	-1.83160491507364	3.60114175223722e-22
"284"	"TBC1D3G"	-1.47344849009724	3.77484099437609e-22
"285"	"SORCS1"	-2.08468163231779	3.86852963285345e-22
"286"	"ATF6B"	1.20282735304852	4.00271235606855e-22
"287"	"MFSD6"	-2.19970797016382	4.18818871941034e-22
"288"	"SLFNL1"	3.57633234444485	4.24327550562848e-22
"289"	"CECR5"	-1.55625777190422	4.282445253257e-22
"290"	"COL6A4P2"	-2.70832734444521	4.3387721390872e-22
"291"	"RPL23AP32"	1.44358245400371	4.94019058237801e-22
"292"	"RPL30"	-2.83369176798342	5.99588437960299e-22
"293"	"TMEM185B"	-1.31128725777122	6.28491794360454e-22
"294"	"DCUN1D2"	1.31769171412281	6.35452234152587e-22
"295"	"ZNF835"	3.40142644096722	6.36091797369589e-22
"296"	"MGC87042"	-2.18812694959941	6.7387514180171e-22
"297"	"NKX2-1"	3.91364316323019	6.7387514180171e-22
"298"	"VIPR2"	3.69073728412491	6.81448295052375e-22
"299"	"SIPA1L1"	-1.5965285027066	6.81448295052375e-22
"300"	"CCDC150"	-1.93813394197915	6.87346518804646e-22
"301"	"CYP2C9"	-2.02253500355237	7.13281168445764e-22
"302"	"PCDHGA3"	1.66401133162483	7.25644390266232e-22
"303"	"SIGLEC5"	-1.26535811194551	7.68517731550951e-22
"304"	"DARS"	-2.85183329704906	7.8770815552937e-22
"305"	"TNRC6B"	-2.25884735379595	8.19174988676731e-22
"306"	"AP2A2"	2.09798340094746	8.48297704748082e-22
"307"	"CCDC43"	-1.959165769748	9.00099744365926e-22
"308"	"ZNF517"	-1.81273815342384	9.00099744365926e-22
