replicate	gene
1	ANKRD19
1	BAI3
1	SLCO2A1
1	ZSCAN12
1	RASD1
1	PTF1A
1	ADCY1
1	ADM2
1	RPP25
1	EMX1
1	C17orf72
1	ZNF542
1	ST3GAL6
1	CECR6
1	DAB1
1	PRKAR2B
1	EMILIN2
1	SHISA3
1	PCGF1
1	TBX5
1	GPR149
1	CACNG4
2	CA4
2	ENPP4
2	ZEB2
2	SLC12A5
2	UBE2S
2	KCNQ1
2	ADAMTS12
2	TTBK1
2	FGF10
2	SP8
2	RXRG
2	CBFA2T3
2	ZIK1
2	ZNF132
2	GSTK1
2	APLP1
2	MT3
2	SRD5A2
2	MMP17
2	SLAIN1
2	GSTK1
2	TMEM145
2	CACNG2
2	EPHB1
2	SHH
2	GFRA2
2	LY6G5C
2	GSTK1
2	BMP3
2	PRKAG2
2	ZIK1
2	ZIK1
2	VIM
2	ZNF677
2	GSTK1
2	TET1
2	CYTL1
2	CA10
2	CACNG8
2	ONECUT3
2	NCAN
2	GSTK1
2	C1orf114
2	MLF1
2	PDE1C
2	ABCC8
2	KIF21B
2	CACNA1H
2	ENPP4
2	ZIK1
2	TMEM59L
2	KIAA1217
2	MGC23270
2	FAM124A
2	ZNF30
2	KCNH5
2	ZIK1
2	SUSD5
2	TOX3
2	TTBK1
2	PODXL
2	MMP17
2	ZNF14
2	SFMBT2
2	SP8
2	FGF8
2	ST6GALNAC5
2	UNC13A
2	NEURL4
2	EPHB1
2	DPP6
2	DAGLA
2	DNAH14
2	CACNG8
2	ATCAY
2	CTF1
2	BMP3
2	MACF1
2	EIF2C1
2	AK5
2	TTYH1
2	KCNA4
2	NKX6-1
2	HCRTR2
2	FAM131B
2	PAQR9
2	ZIK1
2	AIRE
2	C3orf67
2	PRKAG2
2	CADM2
2	EPHB1
2	MSI1
2	SFMBT2
2	PRMT8
2	CDH8
2	C13orf36
2	DACH1
2	GRIN3A
2	BMP3
2	PTCHD2
2	KIF21B
2	TPM1
2	SLC26A10
2	HCRTR2
2	SHOX2
2	CACNA1D
2	PTGER3
2	GPR63
2	ZNF14
2	KIF21B
2	CACNA1H
2	POU4F1
2	NOTCH3
2	PFKP
2	BRDT
2	ZNF14
2	DNAH14
2	KL
2	GABRD
2	SDHAP3
2	CA10
2	ENPP4
2	RNU6ATAC
2	CLEC2L
2	ISL2
2	MYOCD
2	SIM2
2	SFRP5
2	ZEB1
2	PAQR8
2	PRSS50
2	DPY19L2P4
2	KCNA2
2	EBF2
2	WRNIP1
2	SMEK1
2	VWDE
2	PITX2
2	NEUROD1
2	PRTG
2	CUGBP2
2	ADAMTS17
2	TPM1
2	JAM3
2	PRTG
2	SNCA
2	ZNF525
2	CHRNA7
2	GOLT1A
2	ROPN1L
2	LOC641518
2	MMP17
2	VWA5B2
2	CPEB1
2	GALNT9
2	VGF
2	MYO5A
2	GABRG3
2	WSCD1
2	SNX22
2	LHX8
2	NPPC
2	RRAGD
2	CADM2
2	BVES
2	WRNIP1
2	SFMBT2
2	SLAIN1
2	TMEM59L
2	ZNF132
2	MYRIP
2	CCDC108
2	ADCYAP1
2	PAOX
2	PDE4C
2	DFNB31
2	PAOX
2	NEUROD1
2	NUAK1
2	WRNIP1
2	CLEC2L
2	EPHA10
2	C7orf52
2	ST6GALNAC5
2	VWDE
2	VIPR2
2	C3orf67
2	ENPP4
2	TAL1
2	GAS2
2	MMP17
2	ZNF777
2	FOXF1
2	PROX1
2	NKX6-1
2	PROX1
2	ALX4
2	ZNF341
2	LRP3
2	ZNF804B
2	RHOU
2	CSGALNACT2
2	PLXNC1
2	FREM2
2	KCNB2
2	GCDH
2	BOK
2	MGA
2	SUSD5
2	CCDC105
2	TLE6
2	GPR149
2	FGF10
2	MSX1
2	MLF1
2	PRTG
2	FLT3
2	ZNF14
2	ANKH
2	FLT1
2	COL12A1
2	TPM1
2	GHITM
2	C4orf31
2	TRH
2	PTF1A
2	HCN4
2	SDHAP3
2	BOC
2	PAPOLA
2	CLEC2L
2	NPBWR1
2	ENPP5
2	PTF1A
2	GFI1
2	SELS
2	CLSTN2
2	ALX4
2	CLSTN2
2	PDE4A
2	MYOCD
2	BOC
2	GABRA1
2	MMP17
2	SPRY2
2	STX11
2	SNTB1
2	GFRA1
2	SNTB1
2	OTOP1
2	HCP5
2	HLA-B
2	RILPL2
2	TMEM20
2	SNTB1
2	MT1E
2	FIBCD1
2	TPM1
2	ZNF580
2	PAOX
2	RRAGD
2	KCNA4
2	C11orf9
2	ARHGAP20
2	SPINT1
2	TPM1
2	SEMA5B
2	GUCY1A3
2	ONECUT2
2	NFE2L3
