"ID"	"Gene.symbol"	"logFC"	"adj.P.Val"
"244"	"238849_at"	"ACY1"	-0.0983149515981774	0.601844470342422
"245"	"230481_at"	"ACY3"	0.295560420361028	0.0907264864111278
"246"	"205260_s_at"	"ACYP1"	-0.0722792922308049	0.379567043310401
"247"	"204639_at"	"ADA"	-0.35334249148306	0.0440410845493937
"248"	"231448_at"	"ADAD1"	-0.0297538028405198	0.872235856515014
"249"	"236463_at"	"ADAD2"	0.243350598021006	0.323932932322518
"250"	"238424_at"	"ADAL"	0.182353287231741	0.0298840575839851
"251"	"202604_x_at"	"ADAM10"	0.131525617635557	0.173575754828479
"252"	"207880_at"	"ADAM11"	0.213685506666108	0.347763566678198
"253"	"202952_s_at"	"ADAM12"	0.236009556675816	0.387765626419398
"254"	"217007_s_at"	"ADAM15"	0.195583960026173	0.143590353983316
"255"	"213532_at"	"ADAM17"	0.0934636270538611	0.108274332209017
"256"	"1568970_at"	"ADAM18"	0.119553166010091	0.746157096093876
"257"	"209765_at"	"ADAM19"	0.159760025469285	0.138770347117321
"258"	"207664_at"	"ADAM2"	0.176783748391916	0.591236718545533
"259"	"207423_s_at"	"ADAM20"	0.312708853521127	0.163146756606509
"260"	"207665_at"	"ADAM21"	0.118419650322853	0.644730543355301
"261"	"213411_at"	"ADAM22"	-0.654216780139695	5.36492263314481e-10
"262"	"206046_at"	"ADAM23"	0.360802764043127	0.0945126564462532
"263"	"208268_at"	"ADAM28"	-0.219811347580318	0.0767652588586649
"264"	"243520_x_at"	"ADAM30"	0.356511895478107	0.22788693192112
"265"	"1552266_at"	"ADAM32"	-0.0636973153490095	0.820270508591521
"266"	"232570_s_at"	"ADAM33"	0.102150429985391	0.715701341851934
"267"	"217090_at"	"ADAM3A"	0.28780212275402	0.30398903333769
"268"	"217237_at"	"ADAM3B"	0.0167717603168134	0.963978781965308
"269"	"216998_s_at"	"ADAM5"	0.322649291264968	0.0902238764879219
"270"	"237909_at"	"ADAM6"	-0.0131641462916932	0.974618601635816
"271"	"239079_at"	"ADAM7"	0.566648395805897	0.0112615066244988
"272"	"205179_s_at"	"ADAM8"	0.1170670249172	0.726902930411658
"273"	"1555326_a_at"	"ADAM9"	0.67921982770235	4.43963415813786e-05
"274"	"206134_at"	"ADAMDEC1"	0.164527068456868	0.541464785383704
"275"	"222162_s_at"	"ADAMTS1"	0.264094884765885	0.275803059012603
"276"	"230341_x_at"	"ADAMTS10"	-0.0796338914075543	0.655880208106963
"277"	"226997_at"	"ADAMTS12"	-0.693795950011099	0.000510347401123732
"278"	"223844_at"	"ADAMTS13"	-0.243557953298954	0.00666885055402932
"279"	"230167_at"	"ADAMTS14"	-0.214195891597248	0.312966876672411
"280"	"229004_at"	"ADAMTS15"	-0.707088435679275	5.70739376308784e-14
"281"	"238125_at"	"ADAMTS16"	0.119333369599144	0.626001155492405
"282"	"1552727_s_at"	"ADAMTS17"	0.396508321349918	0.00017576325090352
"283"	"230040_at"	"ADAMTS18"	-0.352130006830489	0.181483662452617
"284"	"1553179_at"	"ADAMTS19"	-0.230468689005417	0.318428546506924
"285"	"214454_at"	"ADAMTS2"	0.183718538266318	0.517089191937628
